evento,id_evento,ciclo_domenicale,id_liturgia
Maria Santissima Madre di Dio,75,C,75-C
Giornata mondiale della pace,61,C,61-C
Santissimo nome di Gesù,95,C,95-C
Epifania del Signore,57,C,57-C
Battesimo del Signore,49,C,49-C
2° D.T.O.,26,C,26-C
Conversione di San Paolo apostolo,53,C,53-C
3° D.T.O.,35,C,35-C
Presentazione del Signore (Candelora),86,C,86-C
4° D.T.O.,38,C,38-C
5° D.T.O.,41,C,41-C
Madonna di Lourdes,74,C,74-C
6° D.T.O.,43,C,43-C
Cattedra di San Pietro Apostolo,51,C,51-C
7° D.T.O.,44,C,44-C
8° D.T.O.,45,C,45-C
Mercoledì delle ceneri,78,C,78-C
1° Domenica di Quaresima,12,C,12-C
2° Domenica di Quaresima,25,C,25-C
Solennità di San Giuseppe,99,C,99-C
3° Domenica di Quaresima,34,C,34-C
Festa dell'Annunciazione,59,C,59-C
Domenica Laetare,56,C,56-C
5° Domenica di Quaresima,40,C,40-C
Domenica delle Palme,55,C,55-C
Lunedì della settimana Santa,71,C,71-C
Martedì della settimana Santa,76,C,76-C
Mercoledì della settimana Santa,77,C,77-C
Giovedì Santo (Messa del Crisma),63,C,63-C
Giovedì Santo (In Cena Domini),62,C,62-C
Venerdì Santo (Passione del Signore),102,C,102-C
Inizio Novena alla Divina Misericordia,65,C,65-C
Sabato Santo,87,C,87-C
Pasqua - Risurrezione del Signore,83,C,83-C
Lunedì dell'Angelo,70,C,70-C
2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),24,C,24-C
San Giuseppe Lavoratore,89,C,89-C
3° Domenica di Pasqua (Misericordias Domini),33,C,33-C
4° Domenica di Pasqua (Jubilate),37,C,37-C
5° Domenica di Pasqua (Cantate),39,C,39-C
6° Domenica di Pasqua (Rogate - Vocem jocunditatis),42,C,42-C
Visitazione della Beata Vergine Maria,103,C,103-C
Inizio Novena di Pentecoste,69,C,69-C
Ascensione di Gesù,47,C,47-C
Pentecoste,84,C,84-C
Solennità della Santissima Trinità,98,C,98-C
Santissimo Corpo e Sangue di Cristo,93,C,93-C
Natività di San Giovanni Battista,82,C,82-C
Santissimo Cuore di Gesù,94,C,94-C
Santi Pietro e Paolo Apostoli,92,C,92-C
13° D.T.O.,4,C,4-C
14° D.T.O.,5,C,5-C
15° D.T.O.,6,C,6-C
Beata Vergine Maria del Monte Carmelo,50,C,50-C
16° D.T.O.,7,C,7-C
San Giacomo,88,C,88-C
17° D.T.O.,8,C,8-C
18° D.T.O.,9,C,9-C
Trasfigurazione del Signore,101,C,101-C
19° D.T.O.,10,C,10-C
Assunzione della Beata Vergine Maria,48,C,48-C
20° D.T.O.,13,C,13-C
21° D.T.O.,14,C,14-C
22° D.T.O.,15,C,15-C
Natività della Beata Vergine Maria,81,C,81-C
Santissimo nome di Maria,96,C,96-C
Esaltazione della Santa Croce,58,C,58-C
24° D.T.O.,17,C,17-C
25° D.T.O.,18,C,18-C
26° D.T.O.,19,C,19-C
27° D.T.O.,20,C,20-C
Madonna del Rosario,72,C,72-C
28° D.T.O.,21,C,21-C
29° D.T.O.,22,C,22-C
Inizio Novena dei morti,67,C,67-C
30° D.T.O.,27,C,27-C
Solennità di tutti i Santi,100,C,100-C
Commemorazione dei defunti,52,C,52-C
31° D.T.O.,28,C,28-C
Dedicazione Basilica Lateranense,54,C,54-C
32° D.T.O.,29,C,29-C
33° D.T.O.,30,C,30-C
Presentazione della Beata Vergine Maria,85,C,85-C
Santa Cecilia patrona musica,90,C,90-C
34° D.T.O. - Solennità di Cristo Re,31,C,31-C
Inizio Novena all'immacolata,66,C,66-C
1° Domenica di Avvento,11,C,11-C
Immacolata Concezione,64,C,64-C
2° Domenica di Avvento,23,C,23-C
Madonna di Loreto,73,C,73-C
Santa Lucia,91,C,91-C
3° Domenica di Avvento - Gaudete,32,C,32-C
Inizio Novena di Natale,68,C,68-C
4° Domenica di Avvento,36,C,36-C
Natale del Signore,80,C,80-C
Santo Stefano,97,C,97-C
Festa della Sacra Famiglia,60,C,60-C
Messa di Ringraziamento,79,C,79-C
Maria Santissima Madre di Dio,75,A,75-A
Giornata mondiale della pace,61,A,61-A
Santissimo nome di Gesù,95,A,95-A
Epifania del Signore,57,A,57-A
