id_liturgia,salmo_n_eb,salmo_n_gl,salmo_other_rif
C1-A,121,122,
C1-B,79,80,
C1-C,24,25,
C10-A,66,67,
C10-B,66,67,
C10-C,66,67,
C11-A,147,,
C11-B,147,,
C11-C,147,,
C12-A,71,72,
C12-B,71,72,
C12-C,71,72,
C13-A,28,29,
C13-B,,,"Is 12, 2-6"
C13-C,103,104,
C14-A,50,51,
C14-B,24,25,
C14-C,90,91,
C15-A,32,33,
C15-B,115,116,
C15-C,26,27,
C16-A,94,95,
C16-B,18,19,
C16-C,102,103,
C17-A,22,23,
C17-B,136,137,
C17-C,33,34,
C18-A,129,130,
C18-B,50,51,
C18-C,125,126,
C19-A,21,22,
C19-B,21,22,
C19-C,21,22,
C2-A,71,72,
C2-B,84,85,
C2-C,125,126,
C20-A,88,89,
C20-B,88,89,
C20-C,88,89,
C21-A,115,116,
C21-B,115,116,
C21-C,115,116,
C22-A,30,31,
C22-B,30,31,
C22-C,30,31,
C23-A,117,118,
C23-B,117,118,
C23-C,117,118,
C24-A,117,118,
C24-B,117,118,
C24-C,117,118,
C25-A,117,118,
C25-B,117,118,
C25-C,117,118,
C26-A,15,16,
C26-B,4,,
C26-C,29,30,
C27-A,22,23,
C27-B,117,118,
C27-C,99,100,
C28-A,32,33,
C28-B,21,22,
C28-C,144,145,
C29-A,65,66,
C29-B,97,98,
C29-C,66,67,
C3-A,145,146,
C3-B,,,"Lc 1, 46-54"
C3-C,,,"Is 12, 2-6"
C30-A,46,47,
C30-B,46,47,
C30-C,46,47,
C31-A,26,27,
C31-B,102,103,
C31-C,96,97,
C32-A,103,104,
C32-B,103,104,
C32-C,103,104,
C33-A,103,104,
C33-B,103,104,
C33-C,103,104,
C34-A,,,"Dn 3, 52-56"
C34-B,32,33,
C34-C,8,,
C35-A,147,,
C35-B,115,116,
C35-C,109,110,
C36-A,102,103,
C36-B,,,"Is 12, 2-6"
C36-C,22,23,
C37-A,39,40,
C37-B,39,40,
C37-C,95,96,
C38-A,26,27,
C38-B,24,25,
C38-C,18,19,
C39-A,145,146,
C39-B,94,95,
C39-C,70,71,
C4-A,23,24,
C4-B,88,89,
C4-C,79,80,
C40-A,111,112,
C40-B,146,147,
C40-C,137,138,
C41-A,118,119,
C41-B,31,32,
C41-C,1,,
C42-A,102,103,
C42-B,40,41,
C42-C,102,103,
C43-A,61,62,
C43-B,102,103,
C43-C,91,92,
C44-A,30,31,
C44-B,80,81,
C44-C,116,117,
C45-A,49,50,
C45-B,129,130,
C45-C,29,30,
C46-A,99,100,
C46-B,91,92,
C46-C,31,32,
C47-A,68,69,
C47-B,106,107,
C47-C,62,63,
C48-A,88,89,
C48-B,29,30,
C48-C,15,16,
C49-A,144,145,
C49-B,122,123,
C49-C,65,66,
C5-A,88,89,
C5-B,88,89,
C5-C,88,89,
C50-A,64,65,
C50-B,84,85,
C50-C,18,,
C51-A,85,86,
C51-B,22,23,
C51-C,14,15,
C52-A,118,119,
C52-B,144,145,
C52-C,137,138,
C53-A,144,145,
C53-B,77,78,
C53-C,89,90,
C54-A,84,85,
C54-B,33,34,
C54-C,32,33,
C55-A,66,67,
C55-B,33,34,
C55-C,39,40,
C56-A,137,138,
C56-B,33,34,
C56-C,116,117,
C57-A,62,63,
C57-B,14,15,
C57-C,67,68,
C58-A,94,95,
C58-B,145,146,
C58-C,89,90,
C59-A,102,103,
C59-B,114,116,
C59-C,50,51,
C6-A,95,96,
C6-B,95,96,
C6-C,95,96,
C60-A,144,145,
C60-B,53,54,
C60-C,112,113,
C61-A,24,25,
C61-B,18,19,
C61-C,145,146,
C62-A,79,80,
C62-B,127,128,
C62-C,94,95,
C63-A,22,23,
C63-B,89,90,
C63-C,97,98,
C64-A,95,96,
C64-B,32,33,
C64-C,120,121,
C65-A,17,18,
C65-B,125,126,
C65-C,33,34,
C66-A,130,131,
C66-B,17,18,
C66-C,144,145,
C67-A,62,63,
C67-B,145,146,
C67-C,16,17,
C68-A,127,128,
C68-B,15,16,
C68-C,97,98,
C69-A,22,23,
C69-B,92,93,
C69-C,121,122,
C7-A,96,97,
C7-B,96,97,
C7-C,96,97,
C70-A,23,24,
C70-B,23,24,
C70-C,23,24,
C71-A,70,71,
C71-B,70,71,
C71-C,70,71,
C72-A,138,139,
C72-B,138,139,
C72-C,138,139,
C73-A,18,19,
C73-B,18,19,
C73-C,18,19,
C74-A,33,34,
C74-B,33,34,
C74-C,33,34,
C75-A,96,97,
C75-B,96,97,
C75-C,96,97,
C76-A,131,132,
C76-B,131,132,
C76-C,131,132,
C77-A,44,45,
C77-B,44,45,
C77-C,44,45,
C78-A,77,78,
C78-B,77,78,
C78-C,77,78,
C79-A,23,24,
C79-B,23,24,
C79-C,23,24,
C8-A,97,98,
C8-B,97,98,
C8-C,97,98,
C80-A,26,27,
C80-B,26,27,
C80-C,26,27,
C81-A,24,25,
C81-B,24,25,
C81-C,24,25,
C82-A,41-42,42-43,
C82-B,41-42,42-43,
C82-C,41-42,42-43,
C83-A,45,46,
C83-B,45,46,
C83-C,45,46,
C84-A,97,98,
C84-B,97,98,
C84-C,97,98,
C9-A,127,128,
C9-B,104,105,
C9-C,83,84,
