date,evento,weekday,celebrazione,id_liturgia,anno,liturgia1,liturgia2
2019-01-01,Maria Santissima Madre di Dio,Tuesday,Solennità di Maria SS Madre di Dio,C10-C,2019,http://www.lachiesa.it/calendario/Detailed/20190101.shtml,https://liturgia.silvestrini.org/letture/2019-01-01.html
2019-01-06,Epifania del Signore,Sunday,Epifania del Signore,C12-C,2019,http://www.lachiesa.it/calendario/Detailed/20190106.shtml,https://liturgia.silvestrini.org/letture/2019-01-06.html
2019-01-13,Battesimo del Signore,Sunday,Battesimo del Signore,C13-C,2019,http://www.lachiesa.it/calendario/Detailed/20190113.shtml,https://liturgia.silvestrini.org/letture/2019-01-13.html
2019-01-20,2° D.T.O.,Sunday,II domenica del Tempo Ordinario,C37-C,2019,http://www.lachiesa.it/calendario/Detailed/20190120.shtml,https://liturgia.silvestrini.org/letture/2019-01-20.html
2019-01-27,3° D.T.O.,Sunday,III domenica del Tempo Ordinario,C38-C,2019,http://www.lachiesa.it/calendario/Detailed/20190127.shtml,https://liturgia.silvestrini.org/letture/2019-01-27.html
2019-02-02,Presentazione del Signore (Candelora),Saturday,2 febbraio: Presentazione del Signore,C70-C,2019,http://www.lachiesa.it/calendario/Detailed/20190202.shtml,https://liturgia.silvestrini.org/letture/2019-02-02.html
2019-02-03,4° D.T.O.,Sunday,IV domenica del Tempo Ordinario,C39-C,2019,http://www.lachiesa.it/calendario/Detailed/20190203.shtml,https://liturgia.silvestrini.org/letture/2019-02-03.html
2019-02-10,5° D.T.O.,Sunday,V domenica del Tempo Ordinario,C40-C,2019,http://www.lachiesa.it/calendario/Detailed/20190210.shtml,https://liturgia.silvestrini.org/letture/2019-02-10.html
2019-02-17,6° D.T.O.,Sunday,VI domenica del Tempo Ordinario,C41-C,2019,http://www.lachiesa.it/calendario/Detailed/20190217.shtml,https://liturgia.silvestrini.org/letture/2019-02-17.html
2019-02-24,7° D.T.O.,Sunday,VII domenica del Tempo Ordinario,C42-C,2019,http://www.lachiesa.it/calendario/Detailed/20190224.shtml,https://liturgia.silvestrini.org/letture/2019-02-24.html
2019-03-03,8° D.T.O.,Sunday,VIII domenica del Tempo Ordinario,C43-C,2019,http://www.lachiesa.it/calendario/Detailed/20190303.shtml,https://liturgia.silvestrini.org/letture/2019-03-03.html
2019-03-10,1° Domenica di Quaresima,Sunday,I domenica di Quaresima,C14-C,2019,http://www.lachiesa.it/calendario/Detailed/20190310.shtml,https://liturgia.silvestrini.org/letture/2019-03-10.html
2019-03-17,2° Domenica di Quaresima,Sunday,II domenica di Quaresima,C15-C,2019,http://www.lachiesa.it/calendario/Detailed/20190317.shtml,https://liturgia.silvestrini.org/letture/2019-03-17.html
2019-03-24,3° Domenica di Quaresima,Sunday,III domenica di Quaresima,C16-C,2019,http://www.lachiesa.it/calendario/Detailed/20190324.shtml,https://liturgia.silvestrini.org/letture/2019-03-24.html
2019-03-31,Domenica Laetare,Sunday,IV domenica di Quaresima,C17-C,2019,http://www.lachiesa.it/calendario/Detailed/20190331.shtml,https://liturgia.silvestrini.org/letture/2019-03-31.html
2019-04-07,5° Domenica di Quaresima,Sunday,V domenica di Quaresima,C18-C,2019,http://www.lachiesa.it/calendario/Detailed/20190407.shtml,https://liturgia.silvestrini.org/letture/2019-04-07.html
2019-04-14,Domenica delle Palme,Sunday,Domenica delle Palme: Passione del Signore,C19-C,2019,http://www.lachiesa.it/calendario/Detailed/20190414.shtml,https://liturgia.silvestrini.org/letture/2019-04-14.html
2019-04-18,Giovedì Santo (Messa del Crisma),Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20-C,2019,http://www.lachiesa.it/calendario/Detailed/20190418.shtml,https://liturgia.silvestrini.org/letture/2019-04-18.html
