anno,date,weekday,evento,tipo_evento
2019,2019-01-01,Tuesday,Maria Santissima Madre di Dio,Solennità
2019,2019-01-01,Tuesday,Giornata mondiale della pace,Festa
2019,2019-01-03,Thursday,Santissimo nome di Gesù,Memoria
2019,2019-01-06,Sunday,Epifania del Signore,Festa
2019,2019-01-13,Sunday,Battesimo del Signore,Festa
2019,2019-01-20,Sunday,2° D.T.O.,Domenica
2019,2019-01-25,Friday,Conversione di San Paolo apostolo,Solennità
2019,2019-01-27,Sunday,3° D.T.O.,Domenica
2019,2019-02-02,Saturday,Presentazione del Signore (Candelora),Festa
2019,2019-02-03,Sunday,4° D.T.O.,Domenica
2019,2019-02-10,Sunday,5° D.T.O.,Domenica
2019,2019-02-11,Monday,Madonna di Lourdes,Feria
2019,2019-02-17,Sunday,6° D.T.O.,Domenica
2019,2019-02-22,Friday,Cattedra di San Pietro Apostolo,Festa
2019,2019-02-24,Sunday,7° D.T.O.,Domenica
2019,2019-03-03,Sunday,8° D.T.O.,Domenica
2019,2019-03-06,Wednesday,Mercoledì delle ceneri,Solennità
2019,2019-03-10,Sunday,1° Domenica di Quaresima,Domenica
2019,2019-03-17,Sunday,2° Domenica di Quaresima,Domenica
2019,2019-03-19,Tuesday,Solennità di San Giuseppe,Solennità
2019,2019-03-24,Sunday,3° Domenica di Quaresima,Domenica
2019,2019-03-25,Monday,Festa dell'Annunciazione,Festa
2019,2019-03-31,Sunday,Domenica Laetare,Domenica
2019,2019-04-07,Sunday,5° Domenica di Quaresima,Domenica
2019,2019-04-14,Sunday,Domenica delle Palme,Domenica
2019,2019-04-15,Monday,Lunedì della settimana Santa,Feria
2019,2019-04-16,Tuesday,Martedì della settimana Santa,Feria
2019,2019-04-17,Wednesday,Mercoledì della settimana Santa,Feria
2019,2019-04-18,Thursday,Giovedì Santo (Messa del Crisma),Solennità
2019,2019-04-18,Thursday,Giovedì Santo (In Cena Domini),Solennità
2019,2019-04-19,Friday,Venerdì Santo (Passione del Signore),Solennità
2019,2019-04-19,Friday,Inizio Novena alla Divina Misericordia,Novena
2019,2019-04-20,Saturday,Sabato Santo,Solennità
2019,2019-04-21,Sunday,Pasqua - Risurrezione del Signore,Solennità
2019,2019-04-22,Monday,Lunedì dell'Angelo,Feria
2019,2019-04-28,Sunday,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),Domenica
2019,2019-05-01,Wednesday,San Giuseppe Lavoratore,Memoria
2019,2019-05-05,Sunday,3° Domenica di Pasqua (Misericordias Domini),Domenica
2019,2019-05-12,Sunday,4° Domenica di Pasqua (Jubilate),Domenica
2019,2019-05-19,Sunday,5° Domenica di Pasqua (Cantate),Domenica
2019,2019-05-26,Sunday,6° Domenica di Pasqua (Rogate - Vocem jocunditatis),Domenica
2019,2019-05-31,Friday,Visitazione della Beata Vergine Maria,Festa
2019,2019-05-31,Friday,Inizio Novena di Pentecoste,Novena
2019,2019-06-02,Sunday,Ascensione di Gesù,Solennità
2019,2019-06-09,Sunday,Pentecoste,Solennità
2019,2019-06-16,Sunday,Solennità della Santissima Trinità,Solennità
2019,2019-06-23,Sunday,Santissimo Corpo e Sangue di Cristo,Solennità
2019,2019-06-24,Monday,Natività di San Giovanni Battista,Solennità
2019,2019-06-28,Friday,Santissimo Cuore di Gesù,Solennità
2019,2019-06-29,Saturday,Santi Pietro e Paolo Apostoli,Solennità
2019,2019-06-30,Sunday,13° D.T.O.,Domenica
2019,2019-07-07,Sunday,14° D.T.O.,Domenica
2019,2019-07-14,Sunday,15° D.T.O.,Domenica
2019,2019-07-16,Tuesday,Beata Vergine Maria del Monte Carmelo,Memoria
2019,2019-07-21,Sunday,16° D.T.O.,Domenica
2019,2019-07-25,Thursday,San Giacomo,Festa
2019,2019-07-28,Sunday,17° D.T.O.,Domenica
2019,2019-08-04,Sunday,18° D.T.O.,Domenica
2019,2019-08-06,Tuesday,Trasfigurazione del Signore,Festa
2019,2019-08-11,Sunday,19° D.T.O.,Domenica
2019,2019-08-15,Thursday,Assunzione della Beata Vergine Maria,Solennità
2019,2019-08-18,Sunday,20° D.T.O.,Domenica
2019,2019-08-25,Sunday,21° D.T.O.,Domenica
2019,2019-09-01,Sunday,22° D.T.O.,Domenica
