evento,date,weekday,celebrazione,id_liturgia
1° Domenica di Avvento,2019-12-01,Sunday,I domenica di Avvento,C1-C
2° Domenica di Avvento,2019-12-08,Sunday,II domenica di Avvento,C2-C
3° Domenica di Avvento - Gaudete,2019-12-15,Sunday,III domenica di Avvento,C3-C
4° Domenica di Avvento,2019-12-22,Sunday,IV domenica di Avvento,C4-C
Natale del Signore,2019-12-25,Wednesday,Natale del Signore – Messa del giorno,C8-C
Festa della Sacra Famiglia,2019-12-29,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9-C
Maria Santissima Madre di Dio,2019-01-01,Tuesday,Solennità di Maria SS Madre di Dio,C10-C
Epifania del Signore,2019-01-06,Sunday,Epifania del Signore,C12-C
Battesimo del Signore,2019-01-13,Sunday,Battesimo del Signore,C13-C
1° Domenica di Quaresima,2019-03-10,Sunday,I domenica di Quaresima,C14-C
2° Domenica di Quaresima,2019-03-17,Sunday,II domenica di Quaresima,C15-C
3° Domenica di Quaresima,2019-03-24,Sunday,III domenica di Quaresima,C16-C
Domenica Laetare,2019-03-31,Sunday,IV domenica di Quaresima,C17-C
5° Domenica di Quaresima,2019-04-07,Sunday,V domenica di Quaresima,C18-C
Domenica delle Palme,2019-04-14,Sunday,Domenica delle Palme: Passione del Signore,C19-C
Giovedì Santo (Messa del Crisma),2019-04-18,Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20-C
Giovedì Santo (In Cena Domini),2019-04-18,Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21-C
Venerdì Santo (Passione del Signore),2019-04-19,Friday,Venerdì Santo «Passione del Signore»,C22-C
Pasqua - Risurrezione del Signore,2019-04-21,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24-C
2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),2019-04-28,Sunday,II domenica di Pasqua,C25-C
3° Domenica di Pasqua (Misericordias Domini),2019-05-05,Sunday,III domenica di Pasqua,C26-C
4° Domenica di Pasqua (Jubilate),2019-05-12,Sunday,IV domenica di Pasqua,C27-C
5° Domenica di Pasqua (Cantate),2019-05-19,Sunday,V domenica di Pasqua,C28-C
6° Domenica di Pasqua (Rogate - Vocem jocunditatis),2019-05-26,Sunday,VI domenica di Pasqua,C29-C
Ascensione di Gesù,2019-06-02,Sunday,Ascensione del Signore,C30-C
Pentecoste,2019-06-09,Sunday,Domenica di Pentecoste – Messa del giorno,C33-C
Solennità della Santissima Trinità,2019-06-16,Sunday,Solennità della SS Trinità,C34-C
Santissimo Corpo e Sangue di Cristo,2019-06-23,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35-C
Santissimo Cuore di Gesù,2019-06-28,Friday,Solennità del Sacratissimo Cuore di Gesù,C36-C
2° D.T.O.,2019-01-20,Sunday,II domenica del Tempo Ordinario,C37-C
3° D.T.O.,2019-01-27,Sunday,III domenica del Tempo Ordinario,C38-C
4° D.T.O.,2019-02-03,Sunday,IV domenica del Tempo Ordinario,C39-C
5° D.T.O.,2019-02-10,Sunday,V domenica del Tempo Ordinario,C40-C
