anno,evento,date,weekday,celebrazione,id_celebrazione,ciclo_domenicale,id_liturgia
2019,1° Domenica di Avvento,2019-12-01,Sunday,I domenica di Avvento,C1,C,C1-C
2019,2° Domenica di Avvento,2019-12-08,Sunday,II domenica di Avvento,C2,C,C2-C
2019,3° Domenica di Avvento - Gaudete,2019-12-15,Sunday,III domenica di Avvento,C3,C,C3-C
2019,4° Domenica di Avvento,2019-12-22,Sunday,IV domenica di Avvento,C4,C,C4-C
2019,Natale del Signore,2019-12-25,Wednesday,Natale del Signore – Messa del giorno,C8,C,C8-C
2019,Festa della Sacra Famiglia,2019-12-29,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9,C,C9-C
2019,Maria Santissima Madre di Dio,2019-01-01,Tuesday,Solennità di Maria SS Madre di Dio,C10,C,C10-C
2019,Epifania del Signore,2019-01-06,Sunday,Epifania del Signore,C12,C,C12-C
2019,Battesimo del Signore,2019-01-13,Sunday,Battesimo del Signore,C13,C,C13-C
2019,1° Domenica di Quaresima,2019-03-10,Sunday,I domenica di Quaresima,C14,C,C14-C
2019,2° Domenica di Quaresima,2019-03-17,Sunday,II domenica di Quaresima,C15,C,C15-C
2019,3° Domenica di Quaresima,2019-03-24,Sunday,III domenica di Quaresima,C16,C,C16-C
2019,Domenica Laetare,2019-03-31,Sunday,IV domenica di Quaresima,C17,C,C17-C
2019,5° Domenica di Quaresima,2019-04-07,Sunday,V domenica di Quaresima,C18,C,C18-C
2019,Domenica delle Palme,2019-04-14,Sunday,Domenica delle Palme: Passione del Signore,C19,C,C19-C
2019,Giovedì Santo (Messa del Crisma),2019-04-18,Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20,C,C20-C
2019,Giovedì Santo (In Cena Domini),2019-04-18,Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21,C,C21-C
2019,Venerdì Santo (Passione del Signore),2019-04-19,Friday,Venerdì Santo «Passione del Signore»,C22,C,C22-C
2019,Pasqua - Risurrezione del Signore,2019-04-21,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24,C,C24-C
2019,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),2019-04-28,Sunday,II domenica di Pasqua,C25,C,C25-C
2019,3° Domenica di Pasqua (Misericordias Domini),2019-05-05,Sunday,III domenica di Pasqua,C26,C,C26-C
2019,4° Domenica di Pasqua (Jubilate),2019-05-12,Sunday,IV domenica di Pasqua,C27,C,C27-C
2019,5° Domenica di Pasqua (Cantate),2019-05-19,Sunday,V domenica di Pasqua,C28,C,C28-C
2019,6° Domenica di Pasqua (Rogate - Vocem jocunditatis),2019-05-26,Sunday,VI domenica di Pasqua,C29,C,C29-C
2019,Ascensione di Gesù,2019-06-02,Sunday,Ascensione del Signore,C30,C,C30-C
2019,Pentecoste,2019-06-09,Sunday,Domenica di Pentecoste – Messa del giorno,C33,C,C33-C
2019,Solennità della Santissima Trinità,2019-06-16,Sunday,Solennità della SS Trinità,C34,C,C34-C
2019,Santissimo Corpo e Sangue di Cristo,2019-06-23,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35,C,C35-C
2019,Santissimo Cuore di Gesù,2019-06-28,Friday,Solennità del Sacratissimo Cuore di Gesù,C36,C,C36-C
2019,2° D.T.O.,2019-01-20,Sunday,II domenica del Tempo Ordinario,C37,C,C37-C
2019,3° D.T.O.,2019-01-27,Sunday,III domenica del Tempo Ordinario,C38,C,C38-C
2019,4° D.T.O.,2019-02-03,Sunday,IV domenica del Tempo Ordinario,C39,C,C39-C
2019,5° D.T.O.,2019-02-10,Sunday,V domenica del Tempo Ordinario,C40,C,C40-C
2019,6° D.T.O.,2019-02-17,Sunday,VI domenica del Tempo Ordinario,C41,C,C41-C
2019,7° D.T.O.,2019-02-24,Sunday,VII domenica del Tempo Ordinario,C42,C,C42-C
2019,8° D.T.O.,2019-03-03,Sunday,VIII domenica del Tempo Ordinario,C43,C,C43-C
2019,13° D.T.O.,2019-06-30,Sunday,XIII domenica del Tempo Ordinario,C48,C,C48-C
2019,13° D.T.O.,2019-09-08,Sunday,XIII domenica del Tempo Ordinario,C48,C,C48-C
2019,14° D.T.O.,2019-07-07,Sunday,XIV domenica del Tempo Ordinario,C49,C,C49-C
2019,15° D.T.O.,2019-07-14,Sunday,XV domenica del Tempo Ordinario,C50,C,C50-C
2019,16° D.T.O.,2019-07-21,Sunday,XVI domenica del Tempo Ordinario,C51,C,C51-C
2019,17° D.T.O.,2019-07-28,Sunday,XVII domenica del Tempo Ordinario,C52,C,C52-C
