celebrazione,evento,id_celebrazione
I domenica di Avvento,1° Domenica di Avvento,C1
II domenica di Avvento,2° Domenica di Avvento,C2
III domenica di Avvento,3° Domenica di Avvento - Gaudete,C3
IV domenica di Avvento,4° Domenica di Avvento,C4
Natale del Signore – Messa vespertina nella vigilia,,
Natale del Signore – Messa della notte,,
Natale del Signore – Messa dell’aurora,,
Natale del Signore – Messa del giorno,Natale del Signore,C8
"Santa Famiglia di Gesù, Maria e Giuseppe",Festa della Sacra Famiglia,C9
Solennità di Maria SS Madre di Dio,Maria Santissima Madre di Dio,C10
II domenica dopo Natale,2° domenica dopo natale,C11
Epifania del Signore,Epifania del Signore,C12
Battesimo del Signore,Battesimo del Signore,C13
I domenica di Quaresima,1° Domenica di Quaresima,C14
II domenica di Quaresima,2° Domenica di Quaresima,C15
III domenica di Quaresima,3° Domenica di Quaresima,C16
IV domenica di Quaresima,Domenica Laetare,C17
V domenica di Quaresima,5° Domenica di Quaresima,C18
Domenica delle Palme: Passione del Signore,Domenica delle Palme,C19
Giovedì della Settimana Santa – Messa del Crisma,Giovedì Santo (Messa del Crisma),C20
Giovedì Santo – Messa vespertina «Cena del Signore»,Giovedì Santo (In Cena Domini),C21
Venerdì Santo «Passione del Signore»,Venerdì Santo (Passione del Signore),C22
Domenica di Pasqua – Veglia pasquale nella Notte Santa,,
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,Pasqua - Risurrezione del Signore,C24
II domenica di Pasqua,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),C25
III domenica di Pasqua,3° Domenica di Pasqua (Misericordias Domini),C26
IV domenica di Pasqua,4° Domenica di Pasqua (Jubilate),C27
V domenica di Pasqua,5° Domenica di Pasqua (Cantate),C28
VI domenica di Pasqua,6° Domenica di Pasqua (Rogate - Vocem jocunditatis),C29
Ascensione del Signore,Ascensione di Gesù,C30
VII domenica di Pasqua,,
Domenica di Pentecoste – Messa vespertina nella vigilia,,
Domenica di Pentecoste – Messa del giorno,Pentecoste,C33
Solennità della SS Trinità,Solennità della Santissima Trinità,C34
Solennità del SS Corpo e Sangue di Cristo,Santissimo Corpo e Sangue di Cristo,C35
Solennità del Sacratissimo Cuore di Gesù,Santissimo Cuore di Gesù,C36
II domenica del Tempo Ordinario,2° D.T.O.,C37
III domenica del Tempo Ordinario,3° D.T.O.,C38
IV domenica del Tempo Ordinario,4° D.T.O.,C39
V domenica del Tempo Ordinario,5° D.T.O.,C40
VI domenica del Tempo Ordinario,6° D.T.O.,C41
VII domenica del Tempo Ordinario,7° D.T.O.,C42
VIII domenica del Tempo Ordinario,8° D.T.O.,C43
IX domenica del Tempo Ordinario,9° D.T.O.,C44
X domenica del Tempo Ordinario,10° D.T.O.,C45
XI domenica del Tempo Ordinario,11° D.T.O.,C46
XII domenica del Tempo Ordinario,12° D.T.O.,C47
XIII domenica del Tempo Ordinario,13° D.T.O.,C48
XIV domenica del Tempo Ordinario,14° D.T.O.,C49
XV domenica del Tempo Ordinario,15° D.T.O.,C50
XVI domenica del Tempo Ordinario,16° D.T.O.,C51
XVII domenica del Tempo Ordinario,17° D.T.O.,C52
XVIII domenica del Tempo Ordinario,18° D.T.O.,C53
XIX domenica del Tempo Ordinario,19° D.T.O.,C54
XX domenica del Tempo Ordinario,20° D.T.O.,C55
XXI domenica del Tempo Ordinario,21° D.T.O.,C56
XXII domenica del Tempo Ordinario,22° D.T.O.,C57
XXIII domenica del Tempo Ordinario,23° D.T.O.,C58
XXIV domenica del Tempo Ordinario,24° D.T.O.,C59
XXV domenica del Tempo Ordinario,25° D.T.O.,C60
XXVI domenica del Tempo Ordinario,26° D.T.O.,C61
XXVII domenica del Tempo Ordinario,27° D.T.O.,C62
XXVIII domenica del Tempo Ordinario,28° D.T.O.,C63
XXIX domenica del Tempo Ordinario,29° D.T.O.,C64
XXX domenica del Tempo Ordinario,30° D.T.O.,C65
XXXI domenica del Tempo Ordinario,31° D.T.O.,C66
XXXII domenica del Tempo Ordinario,32° D.T.O.,C67
XXXIII domenica del Tempo Ordinario,33° D.T.O.,C68
Solennità di nostro Signore Gesù Cristo Re dell’universo,34° D.T.O. - Solennità di Cristo Re,C69
2 febbraio: Presentazione del Signore,Presentazione del Signore (Candelora),C70
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,,
24 giugno: Natività di san Giovanni Battista – Messa del giorno,Natività di San Giovanni Battista,C72
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,,
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,Santi Pietro e Paolo Apostoli,C74
6 agosto: Trasfigurazione del Signore,Trasfigurazione del Signore,C75
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,,
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,Assunzione della Beata Vergine Maria,C77
14 settembre: Esaltazione della Santa Croce,Esaltazione della Santa Croce,C78
1 novembre: Tutti i Santi,Solennità di tutti i Santi,C79
2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,Commemorazione dei defunti,C80
2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,Commemorazione dei defunti,C81
2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,Commemorazione dei defunti,C82
9 novembre: Dedicazione della Basilica lateranense,Dedicazione Basilica Lateranense,C83
8 dicembre: Immacolata Concezione della beata Vergine Maria,Immacolata Concezione,C84
