id_canti,mean_similarity,max_similarity
1709,0.44,0.88
2087,0.4,0.62
2737,0.4,0.62
242,0.38,1.0
1879,0.38,0.58
282,0.37,0.67
76,0.37,0.7
2176,0.36,0.56
2303,0.36,0.55
2921,0.35,0.51
1713,0.35,0.5
179,0.35,0.51
2248,0.35,0.57
205,0.35,0.56
2799,0.35,0.55
2454,0.34,0.54
2394,0.34,0.51
321,0.34,0.56
225,0.34,0.53
2429,0.34,0.64
196,0.34,0.58
2647,0.34,0.52
2892,0.34,0.54
1759,0.34,0.5
2628,0.34,0.52
2155,0.33,0.71
2354,0.33,0.7
2738,0.33,0.74
213,0.33,0.51
1627,0.33,0.52
2547,0.33,0.48
1458,0.33,0.48
2301,0.33,0.46
1871,0.33,0.46
1675,0.33,0.54
446,0.33,0.54
1728,0.33,0.49
223,0.33,0.48
428,0.33,0.51
2616,0.33,0.48
1674,0.32,0.48
2756,0.32,0.48
195,0.32,0.48
2728,0.32,0.48
2081,0.32,0.56
305,0.32,0.64
307,0.32,0.58
55,0.32,0.45
2015,0.32,0.47
447,0.32,0.44
78,0.32,0.47
169,0.32,0.46
1777,0.32,0.52
1584,0.31,0.47
2270,0.31,0.47
2918,0.31,0.81
2930,0.31,0.47
73,0.31,0.44
1575,0.31,0.79
1918,0.31,0.64
505,0.31,0.78
129,0.31,0.54
208,0.31,0.49
2540,0.31,0.5
1050,0.31,0.46
160,0.31,0.56
1477,0.31,0.7
452,0.31,0.44
266,0.3,0.73
7,0.3,0.47
2320,0.3,0.68
2003,0.3,0.65
2004,0.3,0.47
231,0.3,0.45
2305,0.3,0.44
2416,0.3,0.51
2327,0.3,0.68
2818,0.3,0.53
236,0.3,0.47
239,0.3,0.44
1698,0.3,0.46
163,0.3,0.46
2723,0.3,0.63
1926,0.3,0.42
2645,0.3,0.5
1953,0.3,0.42
2726,0.3,0.6
2269,0.3,0.47
2133,0.3,0.46
184,0.3,0.54
2340,0.3,0.49
221,0.3,0.43
2597,0.29,0.56
361,0.29,0.44
245,0.29,0.47
2916,0.29,0.45
2447,0.29,0.41
2366,0.29,0.6
2505,0.29,0.44
376,0.29,0.78
258,0.29,0.42
1732,0.29,0.49
1724,0.29,0.46
444,0.29,0.45
1616,0.29,0.42
2205,0.29,0.47
2709,0.29,0.4
1562,0.29,0.48
117,0.29,0.44
1559,0.29,0.48
2780,0.29,0.46
2122,0.29,0.44
2296,0.29,0.4
2179,0.29,0.45
2535,0.29,0.44
1565,0.29,0.48
2295,0.29,0.4
2253,0.29,0.47
52,0.29,0.62
133,0.29,0.44
2644,0.28,0.43
2102,0.28,0.47
61,0.28,0.4
240,0.28,0.51
189,0.28,0.41
3,0.28,0.48
1727,0.28,0.47
1473,0.28,0.46
1944,0.28,0.41
253,0.28,0.52
1936,0.28,0.58
2550,0.28,0.4
2472,0.28,0.64
2528,0.28,0.41
316,0.28,0.51
2524,0.28,0.41
1946,0.28,0.43
1894,0.28,0.45
1999,0.28,0.62
170,0.28,0.59
500,0.28,0.5
1837,0.28,0.6
2025,0.28,0.44
1769,0.28,0.47
2181,0.28,0.43
2600,0.28,0.5
2727,0.28,0.49
2598,0.28,0.53
82,0.28,0.52
2570,0.28,0.41
2234,0.28,0.43
249,0.28,0.46
1588,0.28,0.44
1883,0.28,0.5
4,0.28,0.51
2590,0.28,0.41
229,0.28,0.5
2266,0.27,0.42
378,0.27,0.41
185,0.27,0.61
463,0.27,0.43
1480,0.27,0.49
1669,0.27,0.42
2169,0.27,0.57
2251,0.27,0.49
1453,0.27,0.54
2173,0.27,0.43
237,0.27,0.5
370,0.27,0.6
327,0.27,0.43
2399,0.27,0.45
2805,0.27,0.4
2794,0.27,0.53
2119,0.27,0.47
1761,0.27,0.43
285,0.27,0.39
1600,0.27,0.4
1583,0.27,0.43
2077,0.27,0.51
494,0.27,0.51
1615,0.27,0.49
414,0.27,0.4
2564,0.27,0.49
1734,0.27,0.42
1932,0.27,0.41
200,0.27,0.4
2104,0.27,0.42
1957,0.27,0.44
2228,0.27,0.45
1952,0.27,0.36
1966,0.27,0.45
2125,0.27,0.53
1800,0.27,0.42
1400,0.27,0.44
2227,0.27,0.36
2594,0.27,0.45
382,0.27,0.41
1718,0.26,0.38
1763,0.26,0.38
2448,0.26,0.36
2252,0.26,0.42
1771,0.26,0.39
273,0.26,0.53
1780,0.26,0.44
1836,0.26,0.46
181,0.26,0.4
432,0.26,0.39
380,0.26,0.41
464,0.26,0.4
1848,0.26,0.47
1613,0.26,0.58
1958,0.26,0.4
142,0.26,0.37
1636,0.26,0.4
1970,0.26,0.51
2555,0.26,0.42
1618,0.26,0.55
493,0.26,0.44
2465,0.26,0.42
2292,0.26,0.41
1578,0.26,0.65
1581,0.26,0.44
1585,0.26,0.55
2827,0.26,0.5
2072,0.26,0.39
2151,0.26,0.47
2681,0.26,0.37
1859,0.26,0.41
145,0.26,0.42
1676,0.26,0.5
326,0.26,0.45
1467,0.26,0.43
1672,0.26,0.41
1866,0.26,0.47
2529,0.26,0.56
1692,0.26,0.43
2299,0.25,0.39
22,0.25,0.42
2235,0.25,0.38
2367,0.25,0.43
2082,0.25,0.47
2238,0.25,0.49
1786,0.25,0.38
2246,0.25,0.43
1819,0.25,0.4
2717,0.25,0.52
2329,0.25,0.41
2230,0.25,0.4
2407,0.25,0.42
292,0.25,0.4
2217,0.25,0.41
183,0.25,0.39
2278,0.25,0.55
2226,0.25,0.39
2757,0.25,0.41
383,0.25,0.41
2223,0.25,0.35
295,0.25,0.37
2643,0.25,0.45
306,0.25,0.37
1908,0.25,0.36
2244,0.25,0.39
479,0.25,0.41
1542,0.25,0.36
480,0.25,0.45
2533,0.25,0.49
1654,0.25,0.41
