id_canti,titolo,max,mean
64,Astro del ciel,232,42.76
1776,Osanna,199,18.43
1478,Servire è regnare,168,14.08
1865,Osanna al Figlio di David,160,38.1
474,Venite fedeli,160,37.48
2151,Alzerò i miei occhi ,137,30.6
2152,Gustate e vedete,132,8.47
465,Tu scendi dalle stelle,122,27.31
145,Cristo è risorto veramente,121,22.85
1412,Invochiamo la Tua Presenza,120,9.35
185,Eccomi,102,8.47
434,Sono qui a lodarti (luce del mondo),101,12.18
136,Come Maria,100,10.78
355,Pane del cielo,99,11.27
423,Servo per amore,95,19.53
378,Re di gloria,93,8.56
337,Ogni mia parola,93,7.81
376,Questo è il mio comandamento,90,13.57
383,Resurrezione,89,15.48
1781,Gesù e la samaritana,89,7.36
1396,Rimanete in me,86,8.1
82,Benedici il Signore,85,9.66
2556,Osanna all'Altissimo,84,14.13
150,Dall’aurora al tramonto,83,11.41
44,Alzati e risplendi,82,7.75
1561,Adoro Te,82,9.01
361,Popoli tutti acclamate,81,13.9
2083,Anima Christi,79,8.89
1613,Come un prodigio,79,6.2
450,Te lodiamo Trinità,77,16.33
2478,Cristo Re,77,16.0
206,Giovane donna,76,8.7
126,Chi ci separerà,75,6.83
201,Frutto della nostra terra,74,23.0
1970,Grazie Padre Buono (Rns),71,15.71
1745,Beati voi,69,14.23
1884,Benedetto sei Tu Signore ,69,6.33
486,Vieni e seguimi,69,7.65
1715,Trasformi in Gesù,68,7.41
500,Pane di vita nuova,66,8.76
282,Lo Spirito del Signore,65,14.96
234,Il Signore è il mio pastore,65,9.37
1891,Alleluia Cristo è risorto veramente,64,10.4
414,Se m’accogli,63,11.76
137,Come Tu mi vuoi,63,11.18
300,"Maranathà, Vieni Signor",62,15.15
1898,Chiamati per nome,60,15.68
11,Adeste Fideles,59,17.23
2004,Canzone di San Giuseppe,59,12.86
1480,Il canto del mare,56,7.24
221,I cieli narrano,55,8.11
163,Dov’è carità e amore,53,9.1
453,Ti esalto Dio mio Re,52,7.25
59,Apri le tue braccia,52,9.65
241,In notte placida,52,13.63
152,Davanti a questo amore,51,10.31
1785,Pane di vita,50,7.83
2092,Risuscitò,50,15.75
1416,Ecco quel che abbiamo,49,13.71
467,Lodi all'altissimo (Tu sei Santo),49,5.9
117,Cantiamo Te,48,7.04
1551,Cantiamo con gioia,48,10.58
382,Resta qui con noi,47,6.04
428,Signore come è bello (La tenda),47,13.44
2311,La vera vite,47,7.35
231,Il Pane del Cammino,47,6.82
478,Verbum Panis,46,8.1
1651,Talità Kum,46,10.3
134,Come fuoco vivo,45,8.44
52,Andate per le strade,44,6.86
1714,"Ti saluto, o Croce santa",44,9.62
2003,Giovanni,44,13.0
189,Esci dalla Tua terra,42,10.33
236,Il Signore è la mia salvezza,41,9.47
280,Le Tue mani,39,10.11
2009,Camminiamo incontro al Signore,39,16.8
217,Grandi cose,38,7.59
1780,Vocazione,38,6.52
1564,Nostra gloria è la croce,38,14.43
2074,Misericordes sicut Pater! (Inno dell'Anno Santo della Misericordia),36,14.0
2002,Maranathà,36,14.0
1738,Misericordia sei,35,6.81
1885,Sfolgora il sole di Pasqua,35,10.0
2026,Tu un giorno,35,35.0
1929,A te vorrei dire,34,6.78
2048,Beati voi,34,18.17
1352,Abbracciami,33,10.76
