id_liturgia,id_canti,titolo,cnt
C65-B,217,Grandi cose,31
C65-B,117,Cantiamo Te,12
C65-B,137,Come Tu mi vuoi,8
C65-B,1619,Come ti ama Dio,8
C65-B,1542,Ecco quel che abbiamo (v2),7
C65-B,1416,Ecco quel che abbiamo,7
C65-B,434,Sono qui a lodarti (luce del mondo),6
C65-B,220,Guarda questa offerta,6
C65-B,81,Benedetto Tu Signore,6
C65-B,226,Il disegno,5
C65-B,236,Il Signore è la mia salvezza,5
C65-B,423,Servo per amore,5
C65-B,201,Frutto della nostra terra,5
C65-B,1715,Trasformi in Gesù,5
C65-B,451,"Te, al centro del mio cuore",5
C65-B,1785,Pane di vita,5
C65-B,152,Davanti a questo amore,5
C65-B,1352,Abbracciami,5
C65-B,1752,Mi basta la tua grazia,5
C65-B,4,Acclamate al Signore,4
C65-B,185,Eccomi,4
C65-B,337,Ogni mia parola,4
C65-B,1898,Chiamati per nome,4
C65-B,414,Se m’accogli,4
C65-B,361,Popoli tutti acclamate,4
C65-B,486,Vieni e seguimi,4
C65-B,1478,Servire è regnare,4
C65-B,1567,Apri i miei occhi Signore,3
C65-B,371,Quale gioia (è star con Te),3
C65-B,5,Accogli i nostri doni,3
C65-B,1682,Benedetto sei Tu,3
C65-B,432,Silenzioso Dio,3
C65-B,500,Pane di vita nuova,3
C65-B,116,Canterò per Te,3
C65-B,1396,Rimanete in me,3
C65-B,224,Il canto dell’amore,3
C65-B,1640,"Sei Tu, Signore",3
C65-B,254,Io sarò con Te,3
C65-B,355,Pane del cielo,3
C65-B,52,Andate per le strade,3
C79-B,1745,Beati voi,25
C79-B,1979,Alla tua mensa,7
C79-B,1427,Camminiamo sulla strada,6
C79-B,221,I cieli narrano,6
C79-B,361,Popoli tutti acclamate,6
C79-B,201,Frutto della nostra terra,5
C79-B,1416,Ecco quel che abbiamo,5
C79-B,137,Come Tu mi vuoi,5
C79-B,224,Il canto dell’amore,5
C79-B,42,Alto e Glorioso Dio,4
C79-B,226,Il disegno,4
C79-B,83,Benedici o Signore,4
C79-B,414,Se m’accogli,3
C79-B,370,Quale gioia,3
C79-B,217,Grandi cose,3
C79-B,423,Servo per amore,3
C79-B,5,Accogli i nostri doni,3
C79-B,1635,Accogli nella tua bontà,3
C79-B,76,Beatitudine (La preghiera di Gesù è la nostra),3
C79-B,1352,Abbracciami,3
C79-B,500,Pane di vita nuova,3
C79-B,1379,Tutto è Possibile (Nuovi Orizzonti),3
C79-B,134,Come fuoco vivo,3
C81-B,1675,Symbolum ‘77,7
C81-B,82,Benedici il Signore,4
C81-B,185,Eccomi,3
C81-B,42,Alto e Glorioso Dio,3
C81-B,1561,Adoro Te,3
C81-B,236,Il Signore è la mia salvezza,3
C81-B,368,Prendi la mia vita,3
C81-B,1619,Come ti ama Dio,3
C81-B,394,Santa Maria del cammino,3
C82-B,1675,Symbolum ‘77,7
C82-B,82,Benedici il Signore,4
C82-B,185,Eccomi,3
C82-B,42,Alto e Glorioso Dio,3
C82-B,1561,Adoro Te,3
C82-B,236,Il Signore è la mia salvezza,3
C82-B,368,Prendi la mia vita,3
C82-B,1619,Come ti ama Dio,3
C82-B,394,Santa Maria del cammino,3
C80-B,1675,Symbolum ‘77,7
C80-B,82,Benedici il Signore,4
C80-B,185,Eccomi,3
C80-B,42,Alto e Glorioso Dio,3
C80-B,1561,Adoro Te,3
C80-B,236,Il Signore è la mia salvezza,3
C80-B,368,Prendi la mia vita,3
C80-B,1619,Come ti ama Dio,3
C80-B,394,Santa Maria del cammino,3
C66-B,376,Questo è il mio comandamento,9
C66-B,1619,Come ti ama Dio,9
C66-B,414,Se m’accogli,8
C66-B,201,Frutto della nostra terra,8
C66-B,1745,Beati voi,7
C66-B,236,Il Signore è la mia salvezza,7
C66-B,83,Benedici o Signore,7
C66-B,451,"Te, al centro del mio cuore",7
C66-B,117,Cantiamo Te,6
C66-B,217,Grandi cose,6
C66-B,1667,Cosa Offrirti,6
C66-B,130,Col Tuo amor,6
C66-B,434,Sono qui a lodarti (luce del mondo),5
C66-B,1665,Il nostro cuore offriamo a te,5
C66-B,443,Su ali d’aquila,5
C66-B,42,Alto e Glorioso Dio,4
C66-B,1561,Adoro Te,4
C66-B,361,Popoli tutti acclamate,4
C66-B,423,Servo per amore,4
C66-B,5,Accogli i nostri doni,4
C66-B,48,Amatevi fratelli,4
C66-B,337,Ogni mia parola,3
C66-B,466,Tu sei,3
C66-B,370,Quale gioia,3
C66-B,1416,Ecco quel che abbiamo,3
C66-B,1542,Ecco quel che abbiamo (v2),3
C66-B,136,Come Maria,3
C66-B,240,In comunione,3
C66-B,467,Lodi all'altissimo (Tu sei Santo),3
C66-B,1675,Symbolum ‘77,3
C83-B,1780,Vocazione,4
C67-B,201,Frutto della nostra terra,16
C67-B,236,Il Signore è la mia salvezza,9
C67-B,137,Come Tu mi vuoi,9
C67-B,423,Servo per amore,8
C67-B,1416,Ecco quel che abbiamo,8
C67-B,414,Se m’accogli,7
C67-B,231,Il Pane del Cammino,7
C67-B,1745,Beati voi,7
C67-B,361,Popoli tutti acclamate,7
C67-B,1352,Abbracciami,7
C67-B,1713,"Ti ringrazio, o mio Signore",7
C67-B,5,Accogli i nostri doni,6
C67-B,1542,Ecco quel che abbiamo (v2),6
C67-B,325,Noi veniamo a Te,5
C67-B,1575,Dio è amore,5
C67-B,434,Sono qui a lodarti (luce del mondo),5
C67-B,1986,Cristo speranza delle genti,5
C67-B,150,Dall’aurora al tramonto,5
C67-B,1748,Benedetto Signore (Cerco solo Te),5
C67-B,376,Questo è il mio comandamento,5
C67-B,1675,Symbolum ‘77,5
C67-B,1898,Chiamati per nome,4
C67-B,88,Camminerò,4
C67-B,486,Vieni e seguimi,4
C67-B,217,Grandi cose,4
C67-B,453,Ti esalto Dio mio Re,4
C67-B,419,Segni del tuo amore,4
C67-B,1667,Cosa Offrirti,4
C67-B,81,Benedetto Tu Signore,4
C67-B,278,"Laudato sii, o mi Signore",4
C67-B,224,Il canto dell’amore,4
C67-B,4,Acclamate al Signore,3
C67-B,168,E' bello lodarti,3
C67-B,1587,La mia preghiera elevo a Te,3
C67-B,117,Cantiamo Te,3
C67-B,126,Chi ci separerà,3
C67-B,321,Noi canteremo gloria a Te,3
C67-B,6,Accogli Signore i nostri doni,3
C67-B,1665,Il nostro cuore offriamo a te,3
C67-B,83,Benedici o Signore,3
C67-B,478,Verbum Panis,3
C67-B,451,"Te, al centro del mio cuore",3
C67-B,1958,Resto con te,3
C67-B,76,Beatitudine (La preghiera di Gesù è la nostra),3
C67-B,1554,Emmanuel tu sei,3
C67-B,152,Davanti a questo amore,3
C67-B,1382,Dio grande Dio,3
C67-B,1619,Come ti ama Dio,3
C67-B,134,Come fuoco vivo,3
C68-B,1416,Ecco quel che abbiamo,18
C68-B,361,Popoli tutti acclamate,17
C68-B,434,Sono qui a lodarti (luce del mondo),13
C68-B,201,Frutto della nostra terra,11
C68-B,6,Accogli Signore i nostri doni,8
C68-B,206,Giovane donna,7
C68-B,293,Lui verrà e ti salverà,6
C68-B,236,Il Signore è la mia salvezza,6
C68-B,1639,Mi perdo nel tuo amore,6
C68-B,337,Ogni mia parola,5
C68-B,88,Camminerò,5
C68-B,423,Servo per amore,5
C68-B,1542,Ecco quel che abbiamo (v2),5
C68-B,1715,Trasformi in Gesù,5
C68-B,1665,Il nostro cuore offriamo a te,5
C68-B,1619,Come ti ama Dio,5
