id_canti,similarity,mean_similarity,deviation,titolo,autore,raccolta,momento,link_youtube,score_similarity,score_deviation,score
2381,23.6,16.34,7.260000000000002,Il Signore è mio pastore  (Salmo 22),M. Valmaggi,Salmi per la preghiera,24,FdJaa_mTjWQ,0.7612372093023257,2.0,2.7612372093023256
2860,25.18,20.04,5.140000000000001,Sei tu Signore il mio Pastore,Giuseppe Tranchida,Sei l'amico che perdona,"24,10",EZ2JPLgeErA,0.8122013953488372,1.4159779614325068,2.228179356781344
2383,14.58,13.09,1.4900000000000002,"Signore, sei Tu il mio Pastor",R. Jef - D. Stefani,,"24,31,2,3,4,5",tHsxzhub6po,0.4702897674418605,0.41046831955922863,0.8807580870010892
234,23.57,23.84,-0.2699999999999996,Il Signore è il mio pastore,Davide Maria Turoldo - Ismaele Passoni - Bepi De Marzi,,"24,31",JYP678udLec,0.7602695348837211,-0.02594906295050453,0.7343204719332166
1681,19.93,21.16,-1.2300000000000004,Gesù mio buon pastore,RnS,,21,zo_SekAs5ZY,0.6428583720930232,-0.11821239788563198,0.5246459742073912
359,19.33,20.65,-1.3200000000000003,Perchè Tu sei con me,Gen Verde,,"24,14",Ja9I81E1NLQ,0.6235048837209302,-0.12686208553580014,0.49664279818513
2085,8.15,7.36,0.79,Ascolta Israele,,,"2,3,4,5,17",,0.2628848837209303,0.2176308539944903,0.48051573771542055
2757,21.66,25.17,-3.5100000000000016,Vieni popolo mio,"F. Baggio, F. Buttazzo",Tempo di grazia,"21,31,32",qUykvY6s7Gk,0.6986609302325582,-0.33733781835655957,0.3613231118759986
11,1.98,1.08,0.8999999999999999,Adeste Fideles,Tradizionale,,"21,3",FgTsp_3z94Y,0.06386651162790698,0.24793388429752058,0.3118003959254276
2666,14.78,16.52,-1.7400000000000002,Cristo nostra pace,Marco Frisina,Cristo nostra salvezza,"21,10",tAUlxyi4sSA,0.4767409302325581,-0.16722729456991836,0.30951363566263973
1608,4.97,4.64,0.33000000000000007,Guariscimi o mio Signor,Roland Patzleiner - Figli del Divino Amore,,"31,9",e7_MBc0yhMg,0.1603113953488372,0.09090909090909091,0.25122048625792814
347,13.2,15.13,-1.9300000000000015,"Pace sia, pace a voi",Gen Verde,Come fuoco vivo,"30,32",Ga9OYuovxio,0.4257767441860465,-0.18548774627582912,0.24028899791021738
1642,2.27,1.69,0.5800000000000001,Salve Regina [Latino],Autori Religiosi Vari,,"32,7",gMufzUX3RUY,0.0732206976744186,0.15977961432506885,0.23300031199948745
2486,7.72,8.01,-0.29000000000000004,Quanno nascette Ninno,Sant'Alfonso Maria de' Liguori,,3,l0ruP0TTTPI,0.24901488372093022,-0.02787121576165306,0.22114366795927717
1467,20.8,25.54,-4.739999999999998,Non più due (Buttazzo),Buttazzo,,31,PpuOL1WRI3M,0.6709209302325583,-0.4555502162421912,0.21537071399036706
2232,17.1,20.8,-3.6999999999999993,"Tu, nostro Pastore","Christopher Walker & Marco Deflorian, Marco Deflorian",,31,7fUhKmlhe-4,0.5515744186046513,-0.35559827006246997,0.19597614854218132
252,16.86,20.49,-3.629999999999999,Io loderò il Signore,Matteo Calisi,,21,,0.543833023255814,-0.34887073522345025,0.1949622880323637
345,9.16,10.51,-1.3499999999999996,Pace a te (Nel Signore io ti do la pace),A. Costa - Stefano Varnavà,,30,84PLHM1ko80,0.2954632558139535,-0.12974531475252282,0.16571794106143067
1910,8.87,10.32,-1.450000000000001,Nel Signore io ti do la pace,A. Costa - S. Varnavà,,30,84PLHM1ko80,0.2861090697674418,-0.1393560788082654,0.14675299095917643
344,8.11,9.36,-1.25,Pace a te,Marcello Giombini,Camminiamo nella speranza,30,o9OKvdTcqZI,0.2615946511627907,-0.12013455069678042,0.14146010046601026
1903,8.43,9.85,-1.42,Dona la pace,Figli del divino amore,,"30,6,14,20",eHNi1hj2JHw,0.271916511627907,-0.13647284959154254,0.13544366203636443
1862,17.58,22.13,-4.550000000000001,Non Temere,Marco Frisina,Non temere,31,WiO10LM4PQY,0.5670572093023256,-0.4372897645362808,0.1297674447660448
207,12.24,15.01,-2.7699999999999996,Gli angeli delle campagne,Noël,,3,wtCunFlJfpM,0.39481116279069767,-0.26621816434406537,0.1285929984466323
