id_canti,titolo,score_similarity,score_deviation,score_selection,score_history,score,adeguatezza
217,Grandi cose,0.88,-0.06,1.0,1.0,78.0,✅ Alta
1649,Accogli Signore i nostri doni (v2),0.6,0.43,,,52.0,🧐 Mh
6,Accogli Signore i nostri doni,0.6,0.43,,,52.0,🧐 Mh
1651,Talità Kum,0.23,-0.06,0.7,,38.0,👌 Buona
133,Come è grande,0.92,-0.29,,,38.0,🧐 Mh
1999,Cose stupende ,0.87,-0.29,,,35.0,🧐 Mh
195,Fissa gli occhi,0.94,-0.4,,,34.0,🧐 Mh
1678,Io credo in te Gesù,0.65,-0.09,,,32.0,🧐 Mh
1975,Tu sei qui (Medjugorje),0.4,0.23,,,32.0,🧐 Mh
1818,Ciò che Dio ha fatto in me,0.67,-0.11,,,32.0,🧐 Mh
423,Servo per amore,0.66,-0.12,,,31.0,🧐 Mh
2111,Alleluia Gesù,0.71,-0.21,,,30.0,🧐 Mh
2360,Il Signore ci ha salvato,0.73,-0.27,,,28.999999999999996,🧐 Mh
290,Lode e gloria a Te,0.55,-0.06,,,28.000000000000004,🧐 Mh
1583,E' tempo di grazia,0.78,-0.35,,,28.000000000000004,🧐 Mh
2523,Gesù (mi perdonò),0.53,-0.04,,,28.000000000000004,🧐 Mh
2393,Io credo in te Gesù (v2),0.61,-0.14,,,28.000000000000004,🧐 Mh
2436,Anche tu sei mio fratello,0.61,-0.13,,,28.000000000000004,🧐 Mh
2522,Gesù io desidero amarti,0.22,0.35,,,28.000000000000004,🧐 Mh
1888,"Inno della Divina Misericordia (Gesù, confido in Te)",0.7,-0.26,,,27.0,🧐 Mh
2394,Fa' che io creda,0.91,-0.53,,,27.0,🧐 Mh
1966,Nozze a Cana,0.77,-0.36,,,27.0,🧐 Mh
2188,Io quante volte,0.65,-0.23,,,26.0,🧐 Mh
1543,Nato per noi,0.55,-0.11,,,26.0,🧐 Mh
1598,"Vieni Gesù, Maranathà",0.58,-0.13,,,26.0,🧐 Mh
2122,Tu sei la forza,0.8,-0.42,,,26.0,🧐 Mh
2132,Ora che il giorno finisce,0.69,-0.27,,,26.0,🧐 Mh
2029,Sommo e glorioso Dio,0.62,-0.21,,,25.0,🧐 Mh
2614,Lode e onore a Te,0.38,0.08,,,25.0,🧐 Mh
1630,Gesù mori per me (invocazione),0.49,-0.04,,,25.0,🧐 Mh
205,Gioisci Figlia di Sion,0.91,-0.57,,,25.0,🧐 Mh
2003,Giovanni,0.81,-0.45,,,25.0,🧐 Mh
225,Il canto della creazione,0.89,-0.55,,,25.0,🧐 Mh
1355,Io dico il mio sì - Marco Guadin,0.69,-0.31,,,25.0,🧐 Mh
2921,Dio della storia,0.91,-0.57,,,25.0,🧐 Mh
2590,Inno di liberazione,0.76,-0.42,,,24.0,🧐 Mh
1712,"Ti salutiamo, o Vergine",0.5,-0.08,,,24.0,🧐 Mh
117,Cantiamo Te,0.7,-0.53,,0.41,24.0,🧐 Mh
2004,Canzone di San Giuseppe,0.8,-0.47,,,24.0,🧐 Mh
2798,Nostra gloria è la Croce,0.61,-0.22,,,24.0,🧐 Mh
2589,Come un faro nel buio,0.71,-0.34,,,24.0,🧐 Mh
2534,Il padre che è nei cieli,0.69,-0.32,,,24.0,🧐 Mh
1687,Gesù dolce musica,0.55,-0.15,,,24.0,🧐 Mh
273,La mia anima canta,0.72,-0.38,,,23.0,🧐 Mh
1619,Come ti ama Dio,0.52,-0.42,,0.45,23.0,🧐 Mh
1727,Ti sei fatto pane,0.75,-0.43,,,23.0,🧐 Mh
2474,Maria,0.62,-0.26,,,23.0,🧐 Mh
2400,Tu sei il mio Dio ,0.66,-0.3,,,23.0,🧐 Mh
291,Lodi di Dio altissimo,0.49,-0.09,,,23.0,🧐 Mh
1685,Corpo di Gesù,0.54,-0.16,,,23.0,🧐 Mh
2333,Umiliò se stresso,0.54,-0.16,,,23.0,🧐 Mh
2266,Passa ancora in mezzo a noi,0.73,-0.41,,,22.0,🧐 Mh
1986,Cristo speranza delle genti,0.59,-0.24,,,22.0,🧐 Mh
2082,Cantiamo la tua immensa gloria,0.69,-0.36,,,22.0,🧐 Mh
167,E' bello,0.65,-0.31,,,22.0,🧐 Mh
142,Con Te faremo cose grandi,0.71,-0.39,,,22.0,🧐 Mh
2084,Signore Pietà,0.46,-0.08,,,22.0,🧐 Mh
266,L’anima mia magnifica il Signore,0.78,-0.48,,,22.0,🧐 Mh
2354,Io sono il pane della vita,0.84,-0.55,,,22.0,🧐 Mh
1759,Io ti cerco,0.85,-0.59,,,21.0,🧐 Mh
177,E pace intima,0.64,-0.33,,,21.0,🧐 Mh
278,"Laudato sii, o mi Signore",0.6,-0.28,,,21.0,🧐 Mh
2226,"Alleluia, Cristo è risorto",0.68,-0.37,,,21.0,🧐 Mh
7,Accoglimi,0.77,-0.5,,,21.0,🧐 Mh
2045,Dammi un cuore nuovo,0.41,-0.04,,,21.0,🧐 Mh
1654,Come unico Pane,0.68,-0.37,,,21.0,🧐 Mh
1842,Gloria e lode a te,0.53,-0.18,,,21.0,🧐 Mh
1640,"Sei Tu, Signore",0.58,-0.44,,0.36,21.0,🧐 Mh
379,Rendete grazie,0.49,-0.13,,,21.0,🧐 Mh
254,Io sarò con Te,0.58,-0.44,,0.36,21.0,🧐 Mh
189,Esci dalla Tua terra,0.74,-0.45,,,21.0,🧐 Mh
170,E' giunta l’ora,0.73,-0.45,,,21.0,🧐 Mh
394,Santa Maria del cammino,0.54,-0.21,,,21.0,🧐 Mh
67,Ave Maria,0.56,-0.24,,,20.0,🧐 Mh
1663,Ti dono il mio cuore Gesù,0.57,-0.27,,,20.0,🧐 Mh
1919,Festa con Te,0.57,-0.27,,,20.0,🧐 Mh
326,Non cercate tra i morti,0.69,-0.41,,,20.0,🧐 Mh
2625,Gesù (Pentecoste '81),0.48,-0.15,,,20.0,🧐 Mh
2811,Fame e sete di Cristo,0.57,-0.27,,,20.0,🧐 Mh
2540,La terra buona,0.79,-0.53,,,20.0,🧐 Mh
2515,E Nasce il sole,0.55,-0.24,,,20.0,🧐 Mh
2392,Il cantico dei doni,0.61,-0.31,,,20.0,🧐 Mh
2222,Tutto il mondo deve sapere,0.65,-0.37,,,20.0,🧐 Mh
2143,E' un giorno di festa,0.63,-0.34,,,20.0,🧐 Mh
2223,Un raggio splenderà,0.67,-0.39,,,20.0,🧐 Mh
434,Sono qui a lodarti (luce del mondo),0.53,-0.22,,,20.0,🧐 Mh
2780,Grazie Signore,0.74,-0.48,,,20.0,🧐 Mh
1987,Canto dei tre giovani,0.53,-0.22,,,20.0,🧐 Mh
2104,Luce per noi,0.71,-0.43,,,20.0,🧐 Mh
1847,Ave Maria stella del mattino,0.6,-0.32,,,19.0,🧐 Mh
2645,La Parabola del Seminatore,0.75,-0.52,,,19.0,🧐 Mh
1778,Apri i cieli,0.56,-0.28,,,19.0,🧐 Mh
2057,Gesù ricordati di me,0.58,-0.3,,,19.0,🧐 Mh
2616,Resurrezione,0.81,-0.59,,,19.0,🧐 Mh
1620,La scelta di Maria,0.64,-0.37,,,19.0,🧐 Mh
46,Amar come Gesù amò (per avere la felicità),0.56,-0.28,,,19.0,🧐 Mh
1887,Esulta il cielo,0.64,-0.37,,,19.0,🧐 Mh
176,E' Natale,0.58,-0.3,,,19.0,🧐 Mh
2595,Ora che sei in mezzo a noi,0.64,-0.37,,,19.0,🧐 Mh
2550,Nascerà,0.71,-0.47,,,19.0,🧐 Mh
2227,Il dono del saio,0.7,-0.44,,,19.0,🧐 Mh
2726,Io amo te,0.75,-0.52,,,19.0,🧐 Mh
2465,Sei con noi uno di noi,0.67,-0.42,,,19.0,🧐 Mh
494,Voglio cantare al Signor,0.7,-0.44,,,19.0,🧐 Mh
1890,Anima di Cristo,0.52,-0.23,,,19.0,🧐 Mh
1559,Come il cervo va all'acqua viva (semplificata),0.73,-0.5,,,18.0,🧐 Mh
383,Resurrezione,0.65,-0.41,,,18.0,🧐 Mh
1575,Dio è amore,0.77,-0.55,,,18.0,🧐 Mh
2320,Magnificat,0.74,-0.53,,,18.0,🧐 Mh
1618,L'acqua della salvezza,0.67,-0.43,,,18.0,🧐 Mh
1763,Ho abbandonato,0.67,-0.43,,,18.0,🧐 Mh
258,Io vedo la Tua luce,0.73,-0.5,,,18.0,🧐 Mh
1895,Questo è il giorno fatto dal Signore ,0.63,-0.38,,,18.0,🧐 Mh
1839,Se il chicco di frumento,0.48,-0.19,,,18.0,🧐 Mh
1562,Come il cervo va all'acqua viva,0.73,-0.5,,,18.0,🧐 Mh
1814,Un canto semplice d’amore,0.48,-0.19,,,18.0,🧐 Mh
413,Se il Signore non costruisce la città,0.58,-0.31,,,18.0,🧐 Mh
2015,Chiesa di Dio,0.78,-0.58,,,18.0,🧐 Mh
2261,Pane per noi spezzato,0.54,-0.26,,,18.0,🧐 Mh
1713,"Ti ringrazio, o mio Signore",0.84,-0.65,,,18.0,🧐 Mh
2554,Ora e per sempre (Over and over),0.54,-0.26,,,18.0,🧐 Mh
2059,Questo è il tempo,0.58,-0.31,,,18.0,🧐 Mh
196,Fonti di Nazareth,0.82,-0.62,,,18.0,🧐 Mh
2353,Oggi è Festa per noi,0.54,-0.26,,,18.0,🧐 Mh
1860,Gesù è vivo,0.48,-0.19,,,18.0,🧐 Mh
1588,Lode e Gloria,0.7,-0.48,,,18.0,🧐 Mh
129,Cieli e terra nuova,0.75,-0.56,,,17.0,🧐 Mh
2028,Ave Maria,0.53,-0.27,,,17.0,🧐 Mh
1542,Ecco quel che abbiamo (v2),0.5,-0.58,,0.45,17.0,🧐 Mh
2473,In trasparenza,0.54,-0.3,,,17.0,🧐 Mh
2326,Tu sei qui,0.54,-0.3,,,17.0,🧐 Mh
2303,Annuncio Pasquale,0.85,-0.68,,,17.0,🧐 Mh
307,Mia forza e mio canto,0.77,-0.59,,,17.0,🧐 Mh
1731,Emmanuele vieni tra noi,0.52,-0.27,,,17.0,🧐 Mh
2459,A volto scoperto,0.53,-0.27,,,17.0,🧐 Mh
160,Dio s’è fatto come noi,0.76,-0.56,,,17.0,🧐 Mh
2180,L'offerta,0.45,-0.18,,,17.0,🧐 Mh
2249,Ave Maria,0.53,-0.27,,,17.0,🧐 Mh
231,Il Pane del Cammino,0.74,-0.54,,,17.0,🧐 Mh
2166,Benedetto sei o Padre,0.6,-0.37,,,17.0,🧐 Mh
2891,Canto penitenziale,0.62,-0.39,,,17.0,🧐 Mh
2291,Canto Penitenziale,0.62,-0.39,,,17.0,🧐 Mh
1880,E la strada si apre,0.57,-0.32,,,17.0,🧐 Mh
1555,Il Signore della danza,0.6,-0.37,,,17.0,🧐 Mh
2112,Luce,0.6,-0.37,,,17.0,🧐 Mh
22,Alleluia al Redentore,0.64,-0.42,,,17.0,🧐 Mh
203,Gesù per le strade,0.41,-0.13,,,17.0,🧐 Mh
2240,Con l'offerta di Gesù,0.6,-0.37,,,17.0,🧐 Mh
2447,Tempo di ricominciare,0.72,-0.52,,,17.0,🧐 Mh
260,Jesus Christ you are my life,0.36,-0.06,,,17.0,🧐 Mh
145,Cristo è risorto veramente,0.66,-0.44,,,17.0,🧐 Mh
276,"La Sua, la nostra Messa",0.58,-0.35,,,17.0,🧐 Mh
2610,T'amo Gesù,0.37,-0.08,,,17.0,🧐 Mh
2679,Prodigio d'amore,0.58,-0.35,,,17.0,🧐 Mh
504,Luce,0.62,-0.4,,,17.0,🧐 Mh
2367,Volto dell'Uomo,0.64,-0.41,,,17.0,🧐 Mh
1825,Il Consolatore,0.43,-0.16,,,17.0,🧐 Mh
2378,Saremo sempre amici,0.43,-0.16,,,17.0,🧐 Mh
2009,Camminiamo incontro al Signore,0.5,-0.26,,,16.0,🧐 Mh
425,Shalom,0.5,-0.26,,,16.0,🧐 Mh
1824,Alleluia (venite a me),0.5,-0.26,,,16.0,🧐 Mh
1670,Cerco il tuo volto Signore,0.44,-0.19,,,16.0,🧐 Mh
2638,Dall'eternità,0.48,-0.23,,,16.0,🧐 Mh
2002,Maranathà,0.44,-0.19,,,16.0,🧐 Mh
1902,Confidiamo in te,0.46,-0.21,,,16.0,🧐 Mh
242,In principio,0.88,-0.74,,,16.0,🧐 Mh
1724,Gloria a Dio,0.71,-0.52,,,16.0,🧐 Mh
2622,Dalla tristezza alla danza,0.59,-0.38,,,16.0,🧐 Mh
2366,Alzo gli occhi verso i monti,0.71,-0.52,,,16.0,🧐 Mh
2472,Benedetto sei Tu che vieni,0.68,-0.5,,,16.0,🧐 Mh
2087,Preconio Pasquale,0.92,-0.79,,,16.0,🧐 Mh
2302,Il deserto fiorirà,0.46,-0.22,,,16.0,🧐 Mh
2858,E' l’incontro della vita,0.54,-0.31,,,16.0,🧐 Mh
2308,In unità,0.54,-0.31,,,16.0,🧐 Mh
1709,Signore da chi andremo,1.0,-0.88,,,16.0,🧐 Mh
1952,La canzone di Luciano,0.66,-0.49,,,15.0,🧐 Mh
2244,Che cosa mi manca,0.62,-0.44,,,15.0,🧐 Mh
2080,Esultiamo in Te Gesù,0.6,-0.42,,,15.0,🧐 Mh
1958,Resto con te,0.64,-0.46,,,15.0,🧐 Mh
2093,Il giorno più bello (La mia prima comunione),0.6,-0.41,,,15.0,🧐 Mh
2305,Il tuo amore per noi,0.72,-0.56,,,15.0,🧐 Mh
2030,In cammino,0.47,-0.24,,,15.0,🧐 Mh
1752,Mi basta la tua grazia,0.61,-0.41,,0.14,15.0,🧐 Mh
1944,Luce che sorgi nella notte,0.68,-0.51,,,15.0,🧐 Mh
2293,Se tu mi ami Simone,0.58,-0.39,,,15.0,🧐 Mh
1635,Accogli nella tua bontà,0.49,-0.27,,,15.0,🧐 Mh
1628,Madre dolcissima,0.49,-0.27,,,15.0,🧐 Mh
227,Il figliol prodigo,0.59,-0.39,,,15.0,🧐 Mh
1898,Chiamati per nome,0.56,-0.37,,,15.0,🧐 Mh
2382,Alleluia a Colui che risuscitò ,0.56,-0.37,,,15.0,🧐 Mh
2229,Chiamati per nome v2,0.56,-0.37,,,15.0,🧐 Mh
1477,Sono il Pane di Vita,0.74,-0.58,,,15.0,🧐 Mh
2864,Chi è costei che sorge come aurora,0.57,-0.37,,,15.0,🧐 Mh
2535,Il suo amore per me,0.7,-0.53,,,15.0,🧐 Mh
1740,Sei luce splendida,0.54,-0.34,,,15.0,🧐 Mh
2552,Nel nome di Gesù,0.55,-0.34,,,15.0,🧐 Mh
2231,Tu sei per me,0.58,-0.39,,,15.0,🧐 Mh
1715,Trasformi in Gesù,0.56,-0.37,,,15.0,🧐 Mh
467,Lodi all'altissimo (Tu sei Santo),0.39,-0.15,,,15.0,🧐 Mh
2576,Uomo di galilea,0.35,-0.11,,,15.0,🧐 Mh
1991,O madre del signore,0.46,-0.25,,,14.000000000000002,🧐 Mh
2526,Grazie Gesù,0.5,-0.3,,,14.000000000000002,🧐 Mh
432,Silenzioso Dio,0.63,-0.47,,,14.000000000000002,🧐 Mh
489,Vieni Spirito di Cristo (Vieni vieni spirito d’amore),0.48,-0.28,,,14.000000000000002,🧐 Mh
1656,Ave dolce Maria,0.5,-0.31,,,14.000000000000002,🧐 Mh
2501,Canto di mamma Sifa,0.38,-0.16,,,14.000000000000002,🧐 Mh
2127,Inno a San Giovanni ,0.34,-0.12,,,14.000000000000002,🧐 Mh
2538,Io Ti adoro (Versione italiana),0.5,-0.31,,,14.000000000000002,🧐 Mh
2487,Pane e vino ti offriamo,0.57,-0.4,,,14.000000000000002,🧐 Mh
2697,Parole di vita,0.38,-0.17,,,14.000000000000002,🧐 Mh
1679,Dal tronco di Jesse,0.4,-0.19,,,14.000000000000002,🧐 Mh
2026,Tu un giorno,0.57,-0.4,,,14.000000000000002,🧐 Mh
2450,Bellezza sei Tu,0.44,-0.24,,,14.000000000000002,🧐 Mh
339,Ora è tempo di gioia,0.5,-0.3,,,14.000000000000002,🧐 Mh
2396,A te Signor leviamo i cuori,0.3,-0.07,,,14.000000000000002,🧐 Mh
2224,Partirò,0.5,-0.3,,,14.000000000000002,🧐 Mh
1766,Io con voi,0.34,-0.12,,,14.000000000000002,🧐 Mh
449,Tacita notte,0.48,-0.28,,,14.000000000000002,🧐 Mh
