id_canti,titolo,score_vector_similarity,score_text_similarity,score_deviation,score_selection,score_history,score,adeguatezza
1745,Beati voi,,0.67,0.62,,1.0,80.0,:material-check-all: Alta
2193,Beatitudini,0.609961133189878,0.52,0.33,1.0,,80.0,:material-check-all: Alta
2355,Gustate e vedete,,0.5,0.33,0.78,,67.0,:material-check: Buona
73,Beati quelli che ascoltano,,0.39,-0.14,0.85,,63.0,:material-check: Buona
2995,Cosa avremo in cambio,,0.67,0.57,,,63.0,:material-dots-horizontal: Mh
2048,Beati voi,,0.65,0.52,,,59.0,:material-dots-horizontal: Mh
78,Beato l’uomo,0.7406125045043183,0.63,0.42,0.65,0.09,54.0,:material-dots-horizontal: Mh
76,Beatitudine (La preghiera di Gesù è la nostra),,0.62,0.31,,0.59,53.0,:material-dots-horizontal: Mh
305,Messaggio ai giovani,,0.6,0.33,,,48.0,:material-dots-horizontal: Mh
2322,Lodate il Signore dai Cieli,,0.51,0.42,,,47.0,:material-dots-horizontal: Mh
2429,L'ultima cena,,0.6,0.31,,,47.0,:material-dots-horizontal: Mh
326,Non cercate tra i morti,0.7267067370451864,0.47,0.19,,,46.0,:material-dots-horizontal: Mh
1787,Perchè la vostra gioia sia piena,,0.52,0.38,,,46.0,:material-dots-horizontal: Mh
52,Andate per le strade,0.6341682538684458,0.48,0.18,,,44.0,:material-dots-horizontal: Mh
2742,Lode,,0.51,0.36,,,44.0,:material-dots-horizontal: Mh
1766,Io con voi,,0.43,0.33,,0.49,43.0,:material-dots-horizontal: Mh
2117,Avrai cura di noi,,0.52,0.32,,,43.0,:material-dots-horizontal: Mh
48,Amatevi fratelli,,0.51,0.34,,,43.0,:material-dots-horizontal: Mh
1773,L'addolorata,,0.47,0.38,,,43.0,:material-dots-horizontal: Mh
1719,Vi darò un cuore nuovo,,0.5,0.33,,,42.0,:material-dots-horizontal: Mh
376,Questo è il mio comandamento,,0.53,0.28,,,42.0,:material-dots-horizontal: Mh
428,Signore come è bello (La tenda),,0.56,0.23,,,41.0,:material-dots-horizontal: Mh
1936,Alla vittima pasquale,0.7249811876716676,0.41,0.08,,,41.0,:material-dots-horizontal: Mh
1838,Ora lasciateci cantare,,0.44,0.37,,,41.0,:material-dots-horizontal: Mh
494,Voglio cantare al Signor,,0.23,-0.23,,0.9,41.0,:material-dots-horizontal: Mh
2286,Chiesa del Risorto,0.7173153194000561,0.42,0.08,,,41.0,:material-dots-horizontal: Mh
2446,Alleluja - Cristo è risorto dai morti,,0.41,0.4,,,41.0,:material-dots-horizontal: Mh
2990,Santa chiesa di Dio,,0.51,0.27,,,40.0,:material-dots-horizontal: Mh
2728,Disse un giorno il Padre,,0.55,0.22,,,40.0,:material-dots-horizontal: Mh
2172,Le Beatitudini,,0.44,0.35,,,40.0,:material-dots-horizontal: Mh
2096,Canoni - Dona la pace,,0.43,0.34,,,39.0,:material-dots-horizontal: Mh
2077,Giullare dei campi,,0.5,0.23,,,38.0,:material-dots-horizontal: Mh
2223,Un raggio splenderà,,0.5,0.22,,,38.0,:material-dots-horizontal: Mh
1950,Venite a me,,0.44,0.3,,,38.0,:material-dots-horizontal: Mh
