Titolo,Adeguatezza,%,Autore,Raccolta
[L'acqua della salvezza](https://www.librettocanti.it/canto/l-acqua-della-salvezza-1618),:material-dots-horizontal: Mh,69,A.Roncari - L.Capello,
[Gesù e la samaritana](https://www.librettocanti.it/canto/ges-e-la-samaritana-1781),:material-dots-horizontal: Mh,65,"RnS - A. De Luca, B. Conte",Nelle tue mani
[Nel Tuo silenzio](https://www.librettocanti.it/canto/nel-tuo-silenzio-316),:material-dots-horizontal: Mh,61,Gen Rosso / Gen Verde,Come fuoco vivo
[E sono solo un uomo](https://www.librettocanti.it/canto/e-sono-solo-un-uomo-179),:material-dots-horizontal: Mh,59,Pierangelo Sequeri ,In cerca d'autore
[Resurrezione](https://www.librettocanti.it/canto/resurrezione-2616),:material-dots-horizontal: Mh,56,,
[Fame e sete di Cristo](https://www.librettocanti.it/canto/fame-e-sete-di-cristo-2811),:material-dots-horizontal: Mh,56,Fabrizio Palma · Alfredo Di Stefano,Nella luce del Risorto
[Fissa gli occhi](https://www.librettocanti.it/canto/fissa-gli-occhi-195),:material-dots-horizontal: Mh,56,Franco Costantini,
[Non sei più tu che cerchi me](https://www.librettocanti.it/canto/non-sei-pi-tu-che-cerchi-me-2372),:material-dots-horizontal: Mh,56,RnS - A. Napolitano,Il deserto canta
[Cuore puro](https://www.librettocanti.it/canto/cuore-puro-1779),:material-dots-horizontal: Mh,56,SDV worship,
[Il Tuo amore](https://www.librettocanti.it/canto/il-tuo-amore-239),:material-dots-horizontal: Mh,55,Comunità Maria,Gesù è il Signore
