Titolo,Adeguatezza (0-10),Autore,Raccolta
[Gustate e vedete](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2152),1.12,Marco Frisina,Pane di vita nuova
[A te nostro Padre](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2417),0.96,A. Vitalini-Lavagna,
[Nelle mani della Creazione](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/319),0.78,Giosy Cento,
[Salga da questo altare](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2456),0.74,S. Albisetti - L. Picchi,"Rivista ""Psallite! Musica e Liturgia"""
[Sei venuto dal cielo](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2745),0.72,Daniele Ricci,Sei venuto dal cielo
[I frutti che ci dai](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2218),0.71,Giuseppe Tranchida,
[Pane e vino ti offriamo](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2487),0.29,M. Palmitessa,Ora sei con noi
[Pane della vita](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2455),0.24,Giuseppe Tranchida,Con voci di gioia
[Dove troveremo tutto il pane](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2513),0.23,Stefano pianori,
[Voglio ringraziare](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/496),0.21,---,
