Titolo,Adeguatezza (0-10),Autore,Raccolta
[Sono il Pane di Vita](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/1477),2.61,S. Toolan,
[Vero cibo è il tuo corpo](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/1664),2.57,RnS,Mi arrendo al tuo amore
[Questo è il mio corpo](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/1702),2.38,Janet Lunt,
[Signore da chi andremo](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/1709),2.12,Alejandro Mejia,
[Sei Tu Signore il pane](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2529),1.9,George Kirbye,
[Nella Tua presenza](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/1453),1.3,Daniele Ricci,
[Prendete e mangiate](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/1853),1.14,Pianori,
[Gustate e vedete](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2152),1.12,Marco Frisina,Pane di vita nuova
[A te nostro Padre](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2417),0.96,A. Vitalini-Lavagna,
[Adeste Fideles](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/11),0.89,Tradizionale,
[Nelle mani della Creazione](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/319),0.78,Giosy Cento,
[Guariscimi o mio Signor](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/1608),0.75,Roland Patzleiner - Figli del Divino Amore,
[Salga da questo altare](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2456),0.74,S. Albisetti - L. Picchi,"Rivista ""Psallite! Musica e Liturgia"""
[Ci accogli alla tua mensa](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2351),0.73,Avolio-Capacchione-La Rocca,Festa con Gesù
[Sei venuto dal cielo](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2745),0.72,Daniele Ricci,Sei venuto dal cielo
[I frutti che ci dai](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2218),0.71,Giuseppe Tranchida,
[Io sono il pane della vita](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2354),0.7,Lucio Maria Zappatore,Il Signore è vita
[Dite alla gente](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2767),0.69,G.Meregalli,Mi hai tenuto per mano
[Chi ha fame](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/2327),0.51,Kiko,
[In Eterno Canterò](https://www.librettocanti.it/mod_canti_gestione#!canto/vedi/1978),0.43,RnS,
