id_liturgia,riferimento,id_canti,vector_similarity
C1-A,liturgia,1938,0.832435554528196
C1-A,liturgia,159,0.7795873189222297
C1-A,liturgia,3021,0.7777812731694678
C1-A,liturgia,2238,0.7661409872719558
C1-A,liturgia,2533,0.7643291846100442
C1-A,liturgia,474,0.7484372662407829
C1-A,liturgia,2234,0.7481789157549316
C1-A,liturgia,22,0.7475172811113429
C1-A,liturgia,184,0.7456054171183206
C1-A,liturgia,1578,0.7406915599374572
C1-A,prima_lettura,1910,0.8142568767685102
C1-A,prima_lettura,345,0.7982341433157388
C1-A,prima_lettura,2437,0.7935239116176226
C1-A,prima_lettura,2096,0.7881103662300464
C1-A,prima_lettura,1769,0.7840097847252854
C1-A,prima_lettura,1903,0.769407350283904
C1-A,prima_lettura,2892,0.7667858136756044
C1-A,prima_lettura,2666,0.7660609520201023
C1-A,prima_lettura,2234,0.7585652491484411
C1-A,prima_lettura,1957,0.7517426985902625
C1-A,salmo,2063,0.627895269525618
C1-A,salmo,2755,0.6237697597654335
C1-A,salmo,2533,0.6034655496158182
C1-A,salmo,2452,0.5759017100668014
C1-A,salmo,2596,0.5736014036422614
C1-A,salmo,2140,0.5684366403903178
C1-A,salmo,2203,0.5627606958418334
C1-A,salmo,1578,0.5566015306203739
C1-A,salmo,259,0.5547677342937974
C1-A,salmo,2273,0.5521417675149837
C1-A,seconda_lettura,2616,0.6732005493807102
C1-A,seconda_lettura,1726,0.6717542814854911
C1-A,seconda_lettura,1841,0.6668036166654093
C1-A,seconda_lettura,3022,0.66237192432962
C1-A,seconda_lettura,2933,0.6620178044919955
C1-A,seconda_lettura,2666,0.6620169514555138
C1-A,seconda_lettura,2568,0.6619667436157114
C1-A,seconda_lettura,2595,0.6594380360866068
C1-A,seconda_lettura,2006,0.6577293223818371
C1-A,seconda_lettura,1412,0.6468822239321007
C1-A,versetto,2596,0.5760268319073621
C1-A,versetto,2024,0.5244486545876749
C1-A,versetto,100,0.505448342869486
C1-A,versetto,2493,0.5038635258076135
C1-A,versetto,2094,0.4937749085437274
C1-A,versetto,2897,0.4887010713557522
C1-A,versetto,102,0.4875082087746753
C1-A,versetto,2755,0.4869128550491893
C1-A,versetto,2074,0.4759242731981743
C1-A,versetto,2140,0.4719115743915101
C1-A,vangelo,2492,0.6155402576233097
C1-A,vangelo,1670,0.6133491433059609
C1-A,vangelo,1933,0.6076413240619566
C1-A,vangelo,1989,0.6052499337775745
C1-A,vangelo,2639,0.604499725460585
C1-A,vangelo,2135,0.6042653313629044
C1-A,vangelo,1725,0.6024916064989819
C1-A,vangelo,324,0.5974019395017797
C1-A,vangelo,1599,0.5884939069550278
