evento,pagina_printed,pagina_pdf
I domenica di Avvento,11,13
II domenica di Avvento,16,20
III domenica di Avvento,22,26
IV domenica di Avvento,27,31
Natale del Signore – Messa vespertina nella vigilia,33,39
Natale del Signore – Messa della notte,40,46
Natale del Signore – Messa dell’aurora,45,53
Natale del Signore – Messa del giorno,49,57
"Santa Famiglia di Gesù, Maria e Giuseppe",57,65
Solennità di Maria SS Madre di Dio,63,71
II domenica dopo Natale,67,77
Epifania del Signore,74,84
Battesimo del Signore,79,91
I domenica di Quaresima,87,101
II domenica di Quaresima,91,107
III domenica di Quaresima,95,113
IV domenica di Quaresima,102,120
V domenica di Quaresima,107,127
Domenica delle Palme: Passione del Signore,112,132
Giovedì della Settimana Santa – Messa del Crisma,129,151
Giovedì Santo – Messa vespertina «Cena del Signore»,137,161
Venerdì Santo «Passione del Signore»,142,166
Domenica di Pasqua – Veglia pasquale nella Notte Santa,154,180
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,187,215
II domenica di Pasqua,195,227
III domenica di Pasqua,200,234
IV domenica di Pasqua,204,240
V domenica di Pasqua,208,246
VI domenica di Pasqua,213,253
Ascensione del Signore,217,259
VII domenica di Pasqua,223,265
Domenica di Pentecoste – Messa vespertina nella vigilia,228,270
Domenica di Pentecoste – Messa del giorno,239,283
Solennità della SS Trinità,247,293
Solennità del SS Corpo e Sangue di Cristo,251,297
Solennità del Sacratissimo Cuore di Gesù,258,304
II domenica del Tempo Ordinario,265,311
III domenica del Tempo Ordinario,269,315
IV domenica del Tempo Ordinario,273,319
V domenica del Tempo Ordinario,277,325
VI domenica del Tempo Ordinario,281,331
VII domenica del Tempo Ordinario,285,335
VIII domenica del Tempo Ordinario,290,340
IX domenica del Tempo Ordinario,294,344
X domenica del Tempo Ordinario,299,349
XI domenica del Tempo Ordinario,305,355
XII domenica del Tempo Ordinario,309,359
XIII domenica del Tempo Ordinario,313,363
XIV domenica del Tempo Ordinario,319,371
XV domenica del Tempo Ordinario,323,375
XVI domenica del Tempo Ordinario,329,381
XVII domenica del Tempo Ordinario,333,385
XVIII domenica del Tempo Ordinario,338,390
XIX domenica del Tempo Ordinario,343,395
XX domenica del Tempo Ordinario,347,401
XXI domenica del Tempo Ordinario,351,407
XXII domenica del Tempo Ordinario,356,414
XXIII domenica del Tempo Ordinario,361,419
XXIV domenica del Tempo Ordinario,365,423
XXV domenica del Tempo Ordinario,369,427
XXVI domenica del Tempo Ordinario,373,433
XXVII domenica del Tempo Ordinario,377,437
XXVIII domenica del Tempo Ordinario,382,442
XXIX domenica del Tempo Ordinario,388,448
XXX domenica del Tempo Ordinario,393,453
XXXI domenica del Tempo Ordinario,397,457
XXXII domenica del Tempo Ordinario,402,462
XXXIII domenica del Tempo Ordinario,407,467
Solennità di nostro Signore Gesù Cristo Re dell’universo,411,473
2 febbraio: Presentazione del Signore,417,479
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,423,485
24 giugno: Natività di san Giovanni Battista – Messa del giorno,428,490
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,433,495
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,438,500
6 agosto: Trasfigurazione del Signore,444,506
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,448,510
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,452,514
14 settembre: Esaltazione della Santa Croce,457,519
1 novembre: Tutti i Santi,461,523
2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,465,527
2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,469,531
2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,474,536
9 novembre: Dedicazione della Basilica lateranense,479,541
8 dicembre: Immacolata Concezione della beata Vergine Maria,483,545
