evento,pagina_printed,pagina_pdf
I domenica di Avvento,11,13
II domenica di Avvento,15,19
III domenica di Avvento,20,24
IV domenica di Avvento,24,28
Natale del Signore – Messa vespertina nella vigilia,31,37
Natale del Signore – Messa della notte,38,44
Natale del Signore – Messa dell’aurora,43,49
Natale del Signore – Messa del giorno,47,55
"Santa Famiglia di Gesù, Maria e Giuseppe",54,62
Solennità di Maria SS Madre di Dio,59,67
II domenica dopo Natale,63,73
Epifania del Signore,70,80
Battesimo del Signore,75,87
I domenica di Quaresima,83,97
II domenica di Quaresima,87,103
III domenica di Quaresima,92,110
IV domenica di Quaresima,98,118
V domenica di Quaresima,104,124
Domenica delle Palme: Passione del Signore,109,131
Giovedì della Settimana Santa – Messa del Crisma,127,149
Giovedì Santo – Messa vespertina «Cena del Signore»,135,157
Venerdì Santo «Passione del Signore»,140,164
Domenica di Pasqua – Veglia pasquale nella Notte Santa,152,178
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,185,213
II domenica di Pasqua,193,225
III domenica di Pasqua,198,232
IV domenica di Pasqua,205,241
V domenica di Pasqua,209,247
VI domenica di Pasqua,213,253
Ascensione del Signore,218,258
VII domenica di Pasqua,223,265
Domenica di Pentecoste – Messa vespertina nella vigilia,227,271
Domenica di Pentecoste – Messa del giorno,238,284
Solennità della SS Trinità,247,295
Solennità del SS Corpo e Sangue di Cristo,251,299
Solennità del Sacratissimo Cuore di Gesù,258,308
II domenica del Tempo Ordinario,265,317
III domenica del Tempo Ordinario,269,321
IV domenica del Tempo Ordinario,276,328
V domenica del Tempo Ordinario,282,334
VI domenica del Tempo Ordinario,287,339
VII domenica del Tempo Ordinario,292,344
VIII domenica del Tempo Ordinario,297,349
IX domenica del Tempo Ordinario,301,353
X domenica del Tempo Ordinario,305,357
XI domenica del Tempo Ordinario,310,362
XII domenica del Tempo Ordinario,316,368
XIII domenica del Tempo Ordinario,320,372
XIV domenica del Tempo Ordinario,325,377
XV domenica del Tempo Ordinario,331,383
XVI domenica del Tempo Ordinario,336,388
XVII domenica del Tempo Ordinario,340,392
XVIII domenica del Tempo Ordinario,345,397
XIX domenica del Tempo Ordinario,350,402
XX domenica del Tempo Ordinario,357,409
XXI domenica del Tempo Ordinario,361,413
XXII domenica del Tempo Ordinario,365,417
XXIII domenica del Tempo Ordinario,369,421
XXIV domenica del Tempo Ordinario,374,428
XXV domenica del Tempo Ordinario,381,435
XXVI domenica del Tempo Ordinario,387,441
XXVII domenica del Tempo Ordinario,392,446
XXVIII domenica del Tempo Ordinario,396,450
XXIX domenica del Tempo Ordinario,401,455
XXX domenica del Tempo Ordinario,405,459
XXXI domenica del Tempo Ordinario,410,464
XXXII domenica del Tempo Ordinario,414,470
XXXIII domenica del Tempo Ordinario,419,475
Solennità di nostro Signore Gesù Cristo Re dell’universo,424,482
2 febbraio: Presentazione del Signore,431,491
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,437,497
24 giugno: Natività di san Giovanni Battista – Messa del giorno,442,502
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,447,507
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,452,512
6 agosto: Trasfigurazione del Signore,458,518
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,462,522
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,466,526
14 settembre: Esaltazione della Santa Croce,471,531
1 novembre: Tutti i Santi,475,535
2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,479,539
2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,483,543
2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,488,548
9 novembre: Dedicazione della Basilica lateranense,493,553
8 dicembre: Immacolata Concezione della beata Vergine Maria,497,557
