celebrazione,pagina_pdf,id_celebrazione,ciclo_domenicale,id_liturgia
I domenica di Avvento,63,C1,A,C1-A
II domenica di Avvento,68,C2,A,C2-A
III domenica di Avvento,75,C3,A,C3-A
IV domenica di Avvento,80,C4,A,C4-A
Natale del Signore – Messa vespertina nella vigilia,87,C5,A,C5-A
Natale del Signore – Messa della notte,94,C6,A,C6-A
Natale del Signore – Messa dell’aurora,99,C7,A,C7-A
Natale del Signore – Messa del giorno,104,C8,A,C8-A
"Santa Famiglia di Gesù, Maria e Giuseppe",111,C9,A,C9-A
Solennità di Maria SS Madre di Dio,116,C10,A,C10-A
II domenica dopo Natale,121,C11,A,C11-A
Epifania del Signore,128,C12,A,C12-A
Battesimo del Signore,134,C13,A,C13-A
I domenica di Quaresima,142,C14,A,C14-A
II domenica di Quaresima,148,C15,A,C15-A
III domenica di Quaresima,153,C16,A,C16-A
IV domenica di Quaresima,162,C17,A,C17-A
V domenica di Quaresima,171,C18,A,C18-A
Domenica delle Palme: Passione del Signore,180,C19,A,C19-A
Giovedì della Settimana Santa – Messa del Crisma,199,C20,A,C20-A
Giovedì Santo – Messa vespertina «Cena del Signore»,207,C21,A,C21-A
Venerdì Santo «Passione del Signore»,213,C22,A,C22-A
Domenica di Pasqua – Veglia pasquale nella Notte Santa,226,C23,A,C23-A
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,260,C24,A,C24-A
II domenica di Pasqua,270,C25,A,C25-A
III domenica di Pasqua,276,C26,A,C26-A
IV domenica di Pasqua,283,C27,A,C27-A
V domenica di Pasqua,289,C28,A,C28-A
VI domenica di Pasqua,294,C29,A,C29-A
Ascensione del Signore,298,C30,A,C30-A
VII domenica di Pasqua,305,C31,A,C31-A
Domenica di Pentecoste – Messa vespertina nella vigilia,310,C32,A,C32-A
Domenica di Pentecoste – Messa del giorno,321,C33,A,C33-A
Solennità della SS Trinità,331,C34,A,C34-A
Solennità del SS Corpo e Sangue di Cristo,335,C35,A,C35-A
Solennità del Sacratissimo Cuore di Gesù,343,C36,A,C36-A
II domenica del Tempo Ordinario,350,C37,A,C37-A
III domenica del Tempo Ordinario,354,C38,A,C38-A
IV domenica del Tempo Ordinario,359,C39,A,C39-A
V domenica del Tempo Ordinario,363,C40,A,C40-A
VI domenica del Tempo Ordinario,367,C41,A,C41-A
VII domenica del Tempo Ordinario,374,C42,A,C42-A
VIII domenica del Tempo Ordinario,379,C43,A,C43-A
IX domenica del Tempo Ordinario,384,C44,A,C44-A
X domenica del Tempo Ordinario,389,C45,A,C45-A
XI domenica del Tempo Ordinario,393,C46,A,C46-A
XII domenica del Tempo Ordinario,397,C47,A,C47-A
XIII domenica del Tempo Ordinario,402,C48,A,C48-A
XIV domenica del Tempo Ordinario,407,C49,A,C49-A
XV domenica del Tempo Ordinario,411,C50,A,C50-A
XVI domenica del Tempo Ordinario,418,C51,A,C51-A
XVII domenica del Tempo Ordinario,424,C52,A,C52-A
XVIII domenica del Tempo Ordinario,429,C53,A,C53-A
XIX domenica del Tempo Ordinario,434,C54,A,C54-A
XX domenica del Tempo Ordinario,438,C55,A,C55-A
XXI domenica del Tempo Ordinario,442,C56,A,C56-A
XXII domenica del Tempo Ordinario,446,C57,A,C57-A
XXIII domenica del Tempo Ordinario,450,C58,A,C58-A
XXIV domenica del Tempo Ordinario,454,C59,A,C59-A
XXV domenica del Tempo Ordinario,459,C60,A,C60-A
XXVI domenica del Tempo Ordinario,464,C61,A,C61-A
XXVII domenica del Tempo Ordinario,470,C62,A,C62-A
XXVIII domenica del Tempo Ordinario,476,C63,A,C63-A
XXIX domenica del Tempo Ordinario,482,C64,A,C64-A
XXX domenica del Tempo Ordinario,486,C65,A,C65-A
XXXI domenica del Tempo Ordinario,491,C66,A,C66-A
XXXII domenica del Tempo Ordinario,495,C67,A,C67-A
XXXIII domenica del Tempo Ordinario,500,C68,A,C68-A
Solennità di nostro Signore Gesù Cristo Re dell’universo,506,C69,A,C69-A
2 febbraio: Presentazione del Signore,515,C70,A,C70-A
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,521,C71,A,C71-A
24 giugno: Natività di san Giovanni Battista – Messa del giorno,526,C72,A,C72-A
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,531,C73,A,C73-A
