testo,pagina
DECRETI,5
TEMPO DI AVVENTO,9
I domenica,11
II domenica,15
III domenica,20
IV domenica,24
TEMPO DI NATALE,29
Natale del Signore – Messa vespertina nella vigilia,31
Natale del Signore – Messa della notte,38
Natale del Signore – Messa dell’aurora,43
Natale del Signore – Messa del giorno,47
"Santa Famiglia di Gesù, Maria e Giuseppe",54
Solennità di Maria SS Madre di Dio,59
II domenica dopo Natale,63
Epifania del Signore,70
Battesimo del Signore,75
TEMPO DI QUARESIMA,81
I domenica,83
II domenica,87
III domenica,92
IV domenica,98
V domenica,104
Domenica delle Palme: Passione del Signore,109
Giovedì della Settimana Santa – Messa del Crisma,127
TRIDUO PASQUALE,133
Giovedì Santo – Messa vespertina «Cena del Signore»,135
Venerdì Santo «Passione del Signore»,140
Domenica di Pasqua – Veglia pasquale nella Notte Santa,152
TEMPO DI PASQUA,183
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,185
II domenica,193
III domenica,198
IV domenica,205
V domenica,209
VI domenica,213
Ascensione del Signore,218
VII domenica,223
Domenica di Pentecoste – Messa vespertina nella vigilia,227
Domenica di Pentecoste – Messa del giorno,238
SOLENNITÀ DEL SIGNORE NEL TEMPO ORDINARIO,245
Solennità della SS Trinità,247
Solennità del SS Corpo e Sangue di Cristo,251
Solennità del Sacratissimo Cuore di Gesù,258
TEMPO ORDINARIO,263
II domenica,265
III domenica,269
IV domenica,276
V domenica,282
VI domenica,287
VII domenica,292
VIII domenica,297
IX domenica,301
X domenica,305
XI domenica,310
XII domenica,316
XIII domenica,320
XIV domenica,325
XV domenica,331
XVI domenica,336
XVII domenica,340
XVIII domenica,345
XIX domenica,350
XX domenica,357
XXI domenica,361
XXII domenica,365
XXIII domenica,369
XXIV domenica,374
XXV domenica,381
XXVI domenica,387
XXVII domenica,392
XXVIII domenica,396
XXIX domenica,401
XXX domenica,405
XXXI domenica,410
XXXII domenica,414
XXXIII domenica,419
Solennità di nostro Signore Gesù Cristo Re dell’universo,424
DAL PROPRIO DEI SANTI,429
2 febbraio: Presentazione del Signore,431
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,437
24 giugno: Natività di san Giovanni Battista – Messa del giorno,442
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,447
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,452
6 agosto: Trasfigurazione del Signore,458
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,462
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,466
14 settembre: Esaltazione della Santa Croce,471
1 novembre: Tutti i Santi,475
"2 novembre: Commemorazione di tutti i fedeli defunti – ,1° schema",479
"2 novembre: Commemorazione di tutti i fedeli defunti – ,2° schema",483
"2 novembre: Commemorazione di tutti i fedeli defunti – ,3° schema",488
9 novembre: Dedicazione della Basilica lateranense,493
8 dicembre: Immacolata Concezione della beata Vergine Maria,497
