testo,pagina
L E Z I O N A R I O DOMENICALE E FESTIVO – ANNO B,3
MESSALE ROMANO RIFORMATO A NORMA DEI DECRETI,4
LEZIONARIO CONFERENZA EPISCOPALE ITALIANA,5
Editore: LIBRERIA EDITRICE VATICANA © Copyright by Fondazione di religione,6
DECRETI,7
"CONGREGATIO PRO CULTU DIVINO Prot. N. 842/06/L ITALIAE Instante Eminentissimo Domino Camillo Card. Ruini, pro Alma Urbe Vicario Generali Suae Sanctitatis et Praeside Conferentiae Episcoporum Italiae, litteris die 5 mensis iulii 2006 In textu imprimendo mentio fiat de approbatione seu confirmatione ab Apostolica Sede concessa. Eiusdem insuper textus impressi duo exemplaria ad hanc Congregationem transmittantur. Contrariis quibuslibet minime obstantibus. Ex aedibus Congregationis de Cultu Divino et Disciplina Sacramentorum, die 12 mensis iulii 2006 F Praefectus ✠ Archiepiscopus a Secretis",9
"CONFERENZA EPISCOPALE ITALIANA Prot. N. 950/06 Questo lectionum Missae Ha ricevuto la conferma della Congregazione per il Culto Divino e la Disciplina dei Sacramenti con Decreto Prot. N. 842/06/L del 12 luglio 2006. La presente edizione deve essere considerata “tipica” per la lingua italiana, ufficiale per l’uso liturgico. Il Roma, 25 dicembre 2006 Natale del Signore C Vicario Generale di Sua Santità per la diocesi di Roma Presidente della Conferenza Episcopale Italiana",10
TEMPO,11
"I DOMENICA PRIMA LETTURA Dal libro del profeta Isaìa 63, 16b-17.19b; 64, 2-7 Tu, Signore, sei nostro padre, e lasci indurire il nostro cuore, così che non ti tema? Se tu squarciassi i cieli e scendessi! Quando tu compivi cose terribili che non attendevamo, Ecco, tu sei adirato perché abbiamo peccato",13
"Siamo divenuti tutti come una cosa impura, Nessuno invocava il tuo nome, Parola di Dio.",14
"SALMO RESPONSORIALE Signore, fa’ splendere il tuo volto e noi saremo salvi. Tu, pastore d’Israele, ascolta, Dio degli eserciti, ritorna! Sia la tua mano sull’uomo della tua destra,",17
"SECONDA LETTURA Dalla prima lettera di san Paolo apostolo ai Corìnzi 1, 3-9 Fratelli, grazia a voi e pace da Dio Padre nostro e dal Rendo grazie continuamente al mio Dio per voi, a motivo della grazia di Dio che vi è stata data in Cristo Gesù, La testimonianza di Cristo si è stabilita tra voi così saldamenParola di Dio.",18
"CANTO AL VANGELO Alleluia, alleluia. Mostraci, Signore, la tua misericordia Alleluia. VANGELO Vegliate: non sapete quando Dal Vangelo secondo Marco 13, 33-37 In quel tempo, Gesù disse ai suoi discepoli: Vegliate dunque: voi non sapete quando il padrone di casa riQuello che dico a voi, lo dico a tutti: vegliate!». Parola del Signore.",19
"II DOMENICA PRIMA LETTURA Dal libro del profeta Isaìa 40, 1-5.9-11 « onsolate, consolate il mio popolo la sua colpa è scontata, Una voce grida: Sali su un alto monte,",20
"Alza la tua voce con forza, Parola di Dio.",21
"SALMO RESPONSORIALE Mostraci, Signore, la tua misericordia e donaci la tua salvezza. Ascolterò che cosa dice Dio, il Signore: Amore e verità s’incontreranno, Certo, il Signore donerà il suo bene",22
"SECONDA LETTURA Dalla seconda lettera di san Pietro apostolo 3, 8-14 Una cosa non dovete perdere di vista, carissimi: danel compiere la sua promessa, anche se alcuni parlano di lenIl giorno del Signore verrà come un ladro; allora i cieli spariDato che tutte queste cose dovranno finire in questo modo, Perciò, carissimi, nell’attesa di questi eventi, fate di tutto Parola di Dio.",23
"CANTO AL VANGELO Alleluia, alleluia. Preparate la via del Signore, Alleluia. VANGELO Raddrizzate le vie del Signore. Dal Vangelo secondo Marco 1, 1-8 Inizio del vangelo di Gesù, Cristo, Figlio di Dio. Come sta scritto nel profeta Isaìa: Preparate la via del Signore,",24
"tanti di Gerusalemme. E si facevano battezzare da lui nel fiuGiovanni era vestito di peli di cammello, con una cintura di Parola del Signore.",25
"III DOMENICA PRIMA LETTURA Dal libro del profeta Isaìa 61, 1-2.10-11 Lo spirito del Signore Dio è su di me, a fasciare le piaghe dei cuori spezzati, Io gioisco pienamente nel Signore, Parola di Dio.",26
"SALMO RESPONSORIALE La mia anima esulta nel mio Dio. L’anima mia magnifica il Signore Grandi cose ha fatto per me l’Onnipotente Ha ricolmato di beni gli affamati,",27
"SECONDA LETTURA Dalla prima lettera di san Paolo apostolo ai Tessalonicési 5, 16-24 Fratelli, siate sempre lieti, pregate ininterrottamente, Non spegnete lo Spirito, non disprezzate le profezie. Vagliate Il Dio della pace vi santifichi interamente, e tutta la vostra Parola di Dio. CANTO AL VANGELO Alleluia, alleluia. Lo Spirito del Signore è sopra di me, Alleluia.",28
"VANGELO Dal Vangelo secondo Giovanni 1, 6-8.19-28 Venne un uomo mandato da Dio: ma doveva dare testimonianza alla luce. Questa è la testimonianza di Giovanni, quando i Giudei gli Quelli che erano stati inviati venivano dai farisei. Essi lo",29
"Questo avvenne in Betània, al di là del Giordano, dove GioParola del Signore.",30
"IV DOMENICA PRIMA LETTURA Dal secondo libro di Samuèle 7, 1-5.8b-12.14a.16 Il re Davide, quando si fu stabilito nella sua casa, e il una casa di cedro, mentre l’arca di Dio sta sotto i teli di una Ma quella stessa notte fu rivolta a Natan questa parola del",31
"Quando i tuoi giorni saranno compiuti e tu dormirai con i La tua casa e il tuo regno saranno saldi per sempre davanti a Parola di Dio. SALMO RESPONSORIALE Canterò per sempre l’amore del Signore. Canterò in eterno l’amore del Signore, «Ho stretto un’alleanza con il mio eletto, «Egli mi invocherà: “Tu sei mio padre,",32
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Romani 16, 25-27 Fratelli, secondo la rivelazione del mistero, Parola di Dio. CANTO AL VANGELO Lc 1, 38 Alleluia, alleluia. Ecco la serva del Signore: Alleluia.",35
"VANGELO Dal Vangelo secondo Luca 1, 26-38 In quel tempo, l’angelo Gabriele fu mandato da A queste parole ella fu molto turbata e si domandava che Allora Maria disse all’angelo: «Come avverrà questo, poiché Allora Maria disse: «Ecco la serva del Signore: avvenga per me Parola del Signore.",36
TEMPO,37
"NATALE Alla Messa vespertina nella vigilia Queste letture vengono proclamate nella Messa che si celebra la sera del PRIMA LETTURA Il Signore troverà in te la sua delizia. Dal libro del profeta Isaìa 62, 1-5 Per amore di Sion non tacerò, e la sua salvezza non risplenda come lampada. Allora le genti vedranno la tua giustizia, Nessuno ti chiamerà più Abbandonata,",39
"Sì, come un giovane sposa una vergine, Parola di Dio. SALMO RESPONSORIALE Canterò per sempre l’amore del Signore. «Ho stretto un’alleanza con il mio eletto, Beato il popolo che ti sa acclamare: «Egli mi invocherà: “Tu sei mio padre,",40
