testo,pagina
L E Z I O N A R I O DOMENICALE E FESTIVO – ANNO C,3
MESSALE ROMANO RIFORMATO A NORMA DEI DECRETI,4
LEZIONARIO CONFERENZA EPISCOPALE ITALIANA,5
Editore: LIBRERIA EDITRICE VATICANA © Copyright by Fondazione di religione,6
DECRETI,7
"CONGREGATIO PRO CULTU DIVINO Prot. N. 842/06/L Instante Eminentissimo Domino Camillo Card. Ruini, pro Alma Urbe Vicario Generali In textu imprimendo mentio fiat de approbatione seu confirmatione ab Apostolica Sede Eiusdem insuper textus impressi duo exemplaria ad hanc Congregationem transmittantur. Contrariis quibuslibet minime obstantibus. Ex aedibus Congregationis de Cultu Divino et Disciplina Sacramentorum, die 12 mensis iulii 2006 F Praefectus ✠ Archiepiscopus a Secretis",9
"CONFERENZA EPISCOPALE ITALIANA Prot. N. 950/06 Questo Ha ricevuto la conferma della Congregazione per il Culto Divino e la Disciplina dei La presente edizione deve essere considerata “tipica” per la lingua italiana, ufficiale per Roma, 25 dicembre 2006 Natale del Signore C Vicario Generale di Sua Santità",10
TEMPO,11
"I DOMENICA PRIMA LETTURA Dal libro del profeta Geremìa 33, 14-16 Ecco, verranno giorni – oràcolo del Signore – nei quali In quei giorni e in quel tempo farò germogliare per Davide un In quei giorni Giuda sarà salvato e Gerusalemme vivrà tranParola di Dio.",13
"SALMO RESPONSORIALE A te, Signore, innalzo l’anima mia, in te confido. Fammi conoscere, Signore, le tue vie, Buono e retto è il Signore, Tutti i sentieri del Signore sono amore e fedeltà",14
"SECONDA LETTURA Dalla prima lettera di san Paolo apostolo ai Tessalonicési 3, 12 – 4, 2 Fratelli, il Signore vi faccia crescere e sovrabbondare Per il resto, fratelli, vi preghiamo e supplichiamo nel Signore Parola di Dio. CANTO AL VANGELO Alleluia, alleluia. Mostraci, Signore, la tua misericordia Alleluia.",17
"VANGELO Dal Vangelo secondo Luca 21, 25-28.34-36 In quel tempo, Gesù disse ai suoi discepoli: «Vi saranno segni nel sole, nella luna e nelle Allora vedranno il Figlio dell’uomo venire su una nube con Quando cominceranno ad accadere queste cose, risollevatevi e State attenti a voi stessi, che i vostri cuori non si appesantiParola del Signore.",18
"II DOMENICA PRIMA LETTURA Dal libro del profeta Baruc 5, 1-9 Deponi, o Gerusalemme, la veste del lutto Sorgi, o Gerusalemme, sta’ in piedi sull’altura",19
"Poiché Dio ha deciso di spianare Anche le selve e ogni albero odoroso Parola di Dio. SALMO RESPONSORIALE Grandi cose ha fatto il Signore per noi. Quando il Signore ristabilì la sorte di Sion, Allora si diceva tra le genti:",20
"Ristabilisci, Signore, la nostra sorte, Nell’andare, se ne va piangendo, SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Filippési 1, 4-6.8-11 Fratelli, sempre, quando prego per tutti voi, lo faccio Infatti Dio mi è testimone del vivo desiderio che nutro per Parola di Dio.",21
"CANTO AL VANGELO Alleluia, alleluia. Preparate la via del Signore, Alleluia. VANGELO Ogni uomo vedrà la salvezza di Dio! Dal Vangelo secondo Luca 3, 1-6 Nell’anno quindicesimo dell’impero di Tiberio Egli percorse tutta la regione del Giordano, predicando un",22
«Voce di uno che grida nel deserto: Parola del Signore.,23
"III DOMENICA PRIMA LETTURA Dal libro del profeta Sofonìa 3, 14-17 Rallègrati, figlia di Sion, Il Signore ha revocato la tua condanna, In quel giorno si dirà a Gerusalemme: Parola di Dio.",24
"SALMO RESPONSORIALE Canta ed esulta, Ecco, Dio è la mia salvezza; Attingerete acqua con gioia Cantate inni al Signore, perché ha fatto cose eccelse,",25
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Filippési 4, 4-7 Fratelli, siate sempre lieti nel Signore, ve lo ripeto: Non angustiatevi per nulla, ma in ogni circostanza fate preE la pace di Dio, che supera ogni intelligenza, custodirà i voParola di Dio. CANTO AL VANGELO Alleluia, alleluia. Lo Spirito del Signore è sopra di me, Alleluia.",26
