evento,pagina_printed
I domenica di Avvento,61
II domenica di Avvento,66
III domenica di Avvento,72
IV domenica di Avvento,77
Natale del Signore – Messa vespertina nella vigilia,83
Natale del Signore – Messa della notte,90
Natale del Signore – Messa dell’aurora,95
Natale del Signore – Messa del giorno,99
"Santa Famiglia di Gesù, Maria e Giuseppe",106
Solennità di Maria SS Madre di Dio,111
II domenica dopo Natale,115
Epifania del Signore,122
Battesimo del Signore,127
I domenica di Quaresima,133
II domenica di Quaresima,139
III domenica di Quaresima,143
IV domenica di Quaresima,151
V domenica di Quaresima,159
Domenica delle Palme: Passione del Signore,167
Giovedì della Settimana Santa – Messa del Crisma,185
Giovedì Santo – Messa vespertina «Cena del Signore»,193
Venerdì Santo «Passione del Signore»,198
Domenica di Pasqua – Veglia pasquale nella Notte Santa,210
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,243
II domenica di Pasqua,251
III domenica di Pasqua,256
IV domenica di Pasqua,262
V domenica di Pasqua,267
VI domenica di Pasqua,272
Ascensione del Signore,276
VII domenica di Pasqua,281
Domenica di Pentecoste – Messa vespertina nella vigilia,285
Domenica di Pentecoste – Messa del giorno,296
Solennità della SS Trinità,305
Solennità del SS Corpo e Sangue di Cristo,309
Solennità del Sacratissimo Cuore di Gesù,316
II domenica del Tempo Ordinario,323
III domenica del Tempo Ordinario,327
IV domenica del Tempo Ordinario,332
V domenica del Tempo Ordinario,336
VI domenica del Tempo Ordinario,340
VII domenica del Tempo Ordinario,347
VIII domenica del Tempo Ordinario,352
IX domenica del Tempo Ordinario,357
X domenica del Tempo Ordinario,362
XI domenica del Tempo Ordinario,366
XII domenica del Tempo Ordinario,370
XIII domenica del Tempo Ordinario,375
XIV domenica del Tempo Ordinario,380
XV domenica del Tempo Ordinario,384
XVI domenica del Tempo Ordinario,391
XVII domenica del Tempo Ordinario,397
XVIII domenica del Tempo Ordinario,402
XIX domenica del Tempo Ordinario,406
XX domenica del Tempo Ordinario,410
XXI domenica del Tempo Ordinario,414
XXII domenica del Tempo Ordinario,418
XXIII domenica del Tempo Ordinario,422
XXIV domenica del Tempo Ordinario,426
XXV domenica del Tempo Ordinario,431
XXVI domenica del Tempo Ordinario,436
XXVII domenica del Tempo Ordinario,442
XXVIII domenica del Tempo Ordinario,448
XXIX domenica del Tempo Ordinario,454
XXX domenica del Tempo Ordinario,458
XXXI domenica del Tempo Ordinario,462
XXXII domenica del Tempo Ordinario,466
XXXIII domenica del Tempo Ordinario,471
Solennità di nostro Signore Gesù Cristo Re dell’universo,477
2 febbraio: Presentazione del Signore,485
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,491
24 giugno: Natività di san Giovanni Battista – Messa del giorno,496
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,501
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,506
6 agosto: Trasfigurazione del Signore,512
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,516
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,520
14 settembre: Esaltazione della Santa Croce,525
1 novembre: Tutti i Santi,529
"2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema",533
"2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema",537
"2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema",542
9 novembre: Dedicazione della Basilica lateranense,547
8 dicembre: Immacolata Concezione della beata Vergine Maria,551
