evento,pagina_printed
I domenica di Avvento,11
II domenica di Avvento,16
III domenica di Avvento,22
IV domenica di Avvento,27
Natale del Signore – Messa vespertina nella vigilia,33
Natale del Signore – Messa della notte,40
Natale del Signore – Messa dell’aurora,45
Natale del Signore – Messa del giorno,49
"Santa Famiglia di Gesù, Maria e Giuseppe",57
Solennità di Maria SS Madre di Dio,63
II domenica dopo Natale,67
Epifania del Signore,74
Battesimo del Signore,79
I domenica di Quaresima,87
II domenica di Quaresima,91
III domenica di Quaresima,95
IV domenica di Quaresima,102
V domenica di Quaresima,107
Domenica delle Palme: Passione del Signore,112
Giovedì della Settimana Santa – Messa del Crisma,129
Giovedì Santo – Messa vespertina «Cena del Signore»,137
Venerdì Santo «Passione del Signore»,142
Domenica di Pasqua – Veglia pasquale nella Notte Santa,154
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,187
II domenica di Pasqua,195
III domenica di Pasqua,200
IV domenica di Pasqua,204
V domenica di Pasqua,208
VI domenica di Pasqua,213
Ascensione del Signore,217
VII domenica di Pasqua,223
Domenica di Pentecoste – Messa vespertina nella vigilia,228
Domenica di Pentecoste – Messa del giorno,239
Solennità della SS Trinità,247
Solennità del SS Corpo e Sangue di Cristo,251
Solennità del Sacratissimo Cuore di Gesù,258
II domenica del Tempo Ordinario,265
III domenica del Tempo Ordinario,269
IV domenica del Tempo Ordinario,273
V domenica del Tempo Ordinario,277
VI domenica del Tempo Ordinario,281
VII domenica del Tempo Ordinario,285
VIII domenica del Tempo Ordinario,290
IX domenica del Tempo Ordinario,294
X domenica del Tempo Ordinario,299
XI domenica del Tempo Ordinario,305
XII domenica del Tempo Ordinario,309
XIII domenica del Tempo Ordinario,313
XIV domenica del Tempo Ordinario,319
XV domenica del Tempo Ordinario,323
XVI domenica del Tempo Ordinario,329
XVII domenica del Tempo Ordinario,333
XVIII domenica del Tempo Ordinario,338
XIX domenica del Tempo Ordinario,343
XX domenica del Tempo Ordinario,347
XXI domenica del Tempo Ordinario,351
XXII domenica del Tempo Ordinario,356
XXIII domenica del Tempo Ordinario,361
XXIV domenica del Tempo Ordinario,365
XXV domenica del Tempo Ordinario,369
XXVI domenica del Tempo Ordinario,373
XXVII domenica del Tempo Ordinario,377
XXVIII domenica del Tempo Ordinario,382
XXIX domenica del Tempo Ordinario,388
XXX domenica del Tempo Ordinario,393
XXXI domenica del Tempo Ordinario,397
XXXII domenica del Tempo Ordinario,402
XXXIII domenica del Tempo Ordinario,407
Solennità di nostro Signore Gesù Cristo Re dell’universo,411
2 febbraio: Presentazione del Signore,417
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,423
24 giugno: Natività di san Giovanni Battista – Messa del giorno,428
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,433
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,438
6 agosto: Trasfigurazione del Signore,444
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,448
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,452
14 settembre: Esaltazione della Santa Croce,457
1 novembre: Tutti i Santi,461
2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,465
2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,469
2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,474
9 novembre: Dedicazione della Basilica lateranense,479
8 dicembre: Immacolata Concezione della beata Vergine Maria,483
