evento,pagina_printed
I domenica di Avvento,11
II domenica di Avvento,15
III domenica di Avvento,20
IV domenica di Avvento,24
Natale del Signore – Messa vespertina nella vigilia,31
Natale del Signore – Messa della notte,38
Natale del Signore – Messa dell’aurora,43
Natale del Signore – Messa del giorno,47
"Santa Famiglia di Gesù, Maria e Giuseppe",54
Solennità di Maria SS Madre di Dio,59
II domenica dopo Natale,63
Epifania del Signore,70
Battesimo del Signore,75
I domenica di Quaresima,83
II domenica di Quaresima,87
III domenica di Quaresima,92
IV domenica di Quaresima,98
V domenica di Quaresima,104
Domenica delle Palme: Passione del Signore,109
Giovedì della Settimana Santa – Messa del Crisma,127
Giovedì Santo – Messa vespertina «Cena del Signore»,135
Venerdì Santo «Passione del Signore»,140
Domenica di Pasqua – Veglia pasquale nella Notte Santa,152
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,185
II domenica di Pasqua,193
III domenica di Pasqua,198
IV domenica di Pasqua,205
V domenica di Pasqua,209
VI domenica di Pasqua,213
Ascensione del Signore,218
VII domenica di Pasqua,223
Domenica di Pentecoste – Messa vespertina nella vigilia,227
Domenica di Pentecoste – Messa del giorno,238
Solennità della SS Trinità,247
Solennità del SS Corpo e Sangue di Cristo,251
Solennità del Sacratissimo Cuore di Gesù,258
II domenica del Tempo Ordinario,265
III domenica del Tempo Ordinario,269
IV domenica del Tempo Ordinario,276
V domenica del Tempo Ordinario,282
VI domenica del Tempo Ordinario,287
VII domenica del Tempo Ordinario,292
VIII domenica del Tempo Ordinario,297
IX domenica del Tempo Ordinario,301
X domenica del Tempo Ordinario,305
XI domenica del Tempo Ordinario,310
XII domenica del Tempo Ordinario,316
XIII domenica del Tempo Ordinario,320
XIV domenica del Tempo Ordinario,325
XV domenica del Tempo Ordinario,331
XVI domenica del Tempo Ordinario,336
XVII domenica del Tempo Ordinario,340
XVIII domenica del Tempo Ordinario,345
XIX domenica del Tempo Ordinario,350
XX domenica del Tempo Ordinario,357
XXI domenica del Tempo Ordinario,361
XXII domenica del Tempo Ordinario,365
XXIII domenica del Tempo Ordinario,369
XXIV domenica del Tempo Ordinario,374
XXV domenica del Tempo Ordinario,381
XXVI domenica del Tempo Ordinario,387
XXVII domenica del Tempo Ordinario,392
XXVIII domenica del Tempo Ordinario,396
XXIX domenica del Tempo Ordinario,401
XXX domenica del Tempo Ordinario,405
XXXI domenica del Tempo Ordinario,410
XXXII domenica del Tempo Ordinario,414
XXXIII domenica del Tempo Ordinario,419
Solennità di nostro Signore Gesù Cristo Re dell’universo,424
2 febbraio: Presentazione del Signore,431
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,437
24 giugno: Natività di san Giovanni Battista – Messa del giorno,442
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,447
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,452
6 agosto: Trasfigurazione del Signore,458
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,462
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,466
14 settembre: Esaltazione della Santa Croce,471
1 novembre: Tutti i Santi,475
"2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema",479
"2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema",483
"2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema",488
9 novembre: Dedicazione della Basilica lateranense,493
8 dicembre: Immacolata Concezione della beata Vergine Maria,497
