celebrazione,id_celebrazione
I domenica di Avvento,C1
II domenica di Avvento,C2
III domenica di Avvento,C3
IV domenica di Avvento,C4
Natale del Signore – Messa vespertina nella vigilia,C5
Natale del Signore – Messa della notte,C6
Natale del Signore – Messa dell’aurora,C7
Natale del Signore – Messa del giorno,C8
"Santa Famiglia di Gesù, Maria e Giuseppe",C9
Solennità di Maria SS Madre di Dio,C10
II domenica dopo Natale,C11
Epifania del Signore,C12
Battesimo del Signore,C13
I domenica di Quaresima,C14
II domenica di Quaresima,C15
III domenica di Quaresima,C16
IV domenica di Quaresima,C17
V domenica di Quaresima,C18
Domenica delle Palme: Passione del Signore,C19
Giovedì della Settimana Santa – Messa del Crisma,C20
Giovedì Santo – Messa vespertina «Cena del Signore»,C21
Venerdì Santo «Passione del Signore»,C22
Domenica di Pasqua – Veglia pasquale nella Notte Santa,C23
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24
II domenica di Pasqua,C25
III domenica di Pasqua,C26
IV domenica di Pasqua,C27
V domenica di Pasqua,C28
VI domenica di Pasqua,C29
Ascensione del Signore,C30
VII domenica di Pasqua,C31
Domenica di Pentecoste – Messa vespertina nella vigilia,C32
Domenica di Pentecoste – Messa del giorno,C33
Solennità della SS Trinità,C34
Solennità del SS Corpo e Sangue di Cristo,C35
Solennità del Sacratissimo Cuore di Gesù,C36
II domenica del Tempo Ordinario,C37
III domenica del Tempo Ordinario,C38
IV domenica del Tempo Ordinario,C39
V domenica del Tempo Ordinario,C40
VI domenica del Tempo Ordinario,C41
VII domenica del Tempo Ordinario,C42
VIII domenica del Tempo Ordinario,C43
IX domenica del Tempo Ordinario,C44
X domenica del Tempo Ordinario,C45
XI domenica del Tempo Ordinario,C46
XII domenica del Tempo Ordinario,C47
XIII domenica del Tempo Ordinario,C48
XIV domenica del Tempo Ordinario,C49
XV domenica del Tempo Ordinario,C50
XVI domenica del Tempo Ordinario,C51
XVII domenica del Tempo Ordinario,C52
XVIII domenica del Tempo Ordinario,C53
XIX domenica del Tempo Ordinario,C54
XX domenica del Tempo Ordinario,C55
XXI domenica del Tempo Ordinario,C56
XXII domenica del Tempo Ordinario,C57
XXIII domenica del Tempo Ordinario,C58
XXIV domenica del Tempo Ordinario,C59
XXV domenica del Tempo Ordinario,C60
XXVI domenica del Tempo Ordinario,C61
XXVII domenica del Tempo Ordinario,C62
XXVIII domenica del Tempo Ordinario,C63
XXIX domenica del Tempo Ordinario,C64
XXX domenica del Tempo Ordinario,C65
XXXI domenica del Tempo Ordinario,C66
XXXII domenica del Tempo Ordinario,C67
XXXIII domenica del Tempo Ordinario,C68
Solennità di nostro Signore Gesù Cristo Re dell’universo,C69
2 febbraio: Presentazione del Signore,C70
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,C71
24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,C73
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74
6 agosto: Trasfigurazione del Signore,C75
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,C76
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77
14 settembre: Esaltazione della Santa Croce,C78
1 novembre: Tutti i Santi,C79
2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80
2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81
2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82
9 novembre: Dedicazione della Basilica lateranense,C83
8 dicembre: Immacolata Concezione della beata Vergine Maria,C84
