testo,pagina
DECRETI,5
TEMPO DI AVVENTO,9
I domenica,11
II domenica,16
III domenica,22
IV domenica,27
TEMPO DI NATALE,31
Natale del Signore – Messa vespertina nella vigilia,33
Natale del Signore – Messa della notte,40
Natale del Signore – Messa dell’aurora,45
Natale del Signore – Messa del giorno,49
"Santa Famiglia di Gesù, Maria e Giuseppe",57
Solennità di Maria SS Madre di Dio,63
II domenica dopo Natale,67
Epifania del Signore,74
Battesimo del Signore,79
TEMPO DI QUARESIMA,85
I domenica,87
II domenica,91
III domenica,95
IV domenica,102
V domenica,107
Domenica delle Palme: Passione del Signore,112
Giovedì della Settimana Santa – Messa del Crisma,129
TRIDUO PASQUALE,135
Giovedì Santo – Messa vespertina «Cena del Signore»,137
Venerdì Santo «Passione del Signore»,142
Domenica di Pasqua – Veglia pasquale nella Notte Santa,154
TEMPO DI PASQUA,185
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,187
II domenica,195
III domenica,200
IV domenica,204
V domenica,208
VI domenica,213
Ascensione del Signore,217
VII domenica,223
Domenica di Pentecoste – Messa vespertina nella vigilia,228
Domenica di Pentecoste – Messa del giorno,239
SOLENNITÀ DEL SIGNORE NEL TEMPO ORDINARIO,245
Solennità della SS Trinità,247
Solennità del SS Corpo e Sangue di Cristo,251
Solennità del Sacratissimo Cuore di Gesù,258
TEMPO ORDINARIO,263
II domenica,265
III domenica,269
IV domenica,273
V domenica,277
VI domenica,281
VII domenica,285
VIII domenica,290
IX domenica,294
X domenica,299
XI domenica,305
XII domenica,309
XIII domenica,313
XIV domenica,319
XV domenica,323
XVI domenica,329
XVII domenica,333
XVIII domenica,338
XIX domenica,343
XX domenica,347
XXI domenica,351
XXII domenica,356
XXIII domenica,361
XXIV domenica,365
XXV domenica,369
XXVI domenica,373
XXVII domenica,377
XXVIII domenica,382
XXIX domenica,388
XXX domenica,393
XXXI domenica,397
XXXII domenica,402
XXXIII domenica,407
Solennità di nostro Signore Gesù Cristo Re dell’universo,411
DAL PROPRIO DEI SANTI,415
2 febbraio: Presentazione del Signore,417
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,423
24 giugno: Natività di san Giovanni Battista – Messa del giorno,428
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,433
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,438
6 agosto: Trasfigurazione del Signore,444
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,448
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,452
14 settembre: Esaltazione della Santa Croce,457
1 novembre: Tutti i Santi,461
2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,465
2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,469
2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,474
9 novembre: Dedicazione della Basilica lateranense,479
8 dicembre: Immacolata Concezione della beata Vergine Maria,483
