pagina,testo
1,
2,
3,"9-10-2007



LEZIONARIO"
4,"9-10-2007



MESSALE ROMANO
RIFORMATO A NORMA DEI DECRETI
DEL CONCILIO ECUMENICO VATICANO II
E PROMULGATO DA PAPA PAOLO VI"
5,"9-10-2007



LDOMENICALE
E Z I OE FESTIVO
N A -RANNO
I OA

CONFERENZA EPISCOPALE ITALIANA"
6,"9-10-2007



Editore: LIBRERIA EDITRICE VATICANA
© Copyright by Fondazione di religione
Santi Francesco di Assisi e Caterina da Siena, Roma, 2007
ISBN 88-209-7986-1"
7,"9-10-2007



DECRETI"
8,9-10-2007
9,"9-10-2007



SACRA CONGREGAZIONE
PER I SACRAMENTI E IL CULTO DIVINO
Prot. N. 106/69

DECRETO
L’elenco delle letture tratte dalla sacra Scrittura da usare nella celebrazione della Messa,
a norma della Costituzione sulla sacra Liturgia, affinché sia preparata per i fedeli con maggiore abbondanza la mensa della parola di Dio, vengano aperti più largamente i tesori della Bibbia, e, in un determinato numero di anni si leggano al popolo le parti più importanti della sacra Scrittura (SC, 51), è stato preparato dal Consiglio per l’applicazione della Costituzione
sulla sacra Liturgia, e il Sommo Pontefice Paolo VI l’ha approvato con la Costituzione apostolica Missale Romanum del 3 aprile 1969.
Questa sacra Congregazione per il Culto divino, per speciale mandato del Sommo Pontefice, ha perciò promulgato l’Ordo lectionum Missae, stabilendo che cominciasse ad andare in
vigore dal 30 novembre di quest’anno 1969, prima domenica di Avvento. Nel prossimo anno
liturgico si userà il ciclo B per le letture domenicali e il ciclo II per la prima lettura delle ferie
per annum.
Poiché nel presente Ordo, vengono date solo le indicazioni per le singole letture, si affida
alla cura delle Conferenze Episcopali la preparazione dei testi per esteso nella lingua corrente,
a norma dell’Istruzione sulle traduzioni in lingua moderna, pubblicata dal Consiglio per l’applicazione della Costituzione sulla sacra Liturgia il 25 gennaio 1969.
I testi in lingua moderna o si prendano da versioni della sacra Scrittura debitamente approvate e confermate dalla Sede Apostolica, o, se vengono fatte versioni nuove, queste siano
presentate a questa sacra Congregazione per la conferma.
Nonostante qualsiasi cosa in contrario.
Dalla sede della sacra Congregazione per il Culto divino,
25 maggio 1969, domenica di Pentecoste

BENNO Card. GUT
Prefetto


A. BUGNINI
Segretario"
10,"9-10-2007



SACRA CONGREGAZIONE
PER I SACRAMENTI E IL CULTO DIVINO

Prot. CD 240/81

DECRETO
Seconda edizione tipica
L’Ordo lectionum Missae la cui prima stampa in edizione tipica risale all’anno 1969, venne
indicazioni per le singole letture bibliche nella celebrazione della Messa, e ciò perché si potessero poi preparare, nelle diverse regioni, i Lezionari in lingua parlata.
In quella edizione mancavano le indicazioni bibliche delle letture per le celebrazioni dei
Sacramenti e per gli altri riti pubblicati dopo il maggio 1969. Inoltre, portata ormai a termine
la Neo Volgata della sacra Bibbia, la Costituzione Apostolica Scripturarum thesaurus, in data
25 aprile 1979, stabilì che per l’uso liturgico si deve d’ora innanzi considerare tipico il testo
della Neo Volgata.
Esaurita pertanto la prima edizione tipica, si è ritenuto opportuno preparare questa seconda, che ha, rispetto alla precedente, le seguenti particolarità:
1. È stato ampliato il testo dei «Principi generali».
2. A norma della Costituzione Apostolica Scripturarum thesaurus, nel riportare i testi biblici è stata usata la Neo Volgata della sacra Bibbia.
3. Sono state inserite tutte le indicazioni bibliche contenute nei Lezionari dei riti dei Sacramenti e dei sacramentali, pubblicati dopo la prima edizione dell’Ordo lectionum Missae.
4. Sono state anche aggiunte le indicazioni bibliche per le letture in alcune Messe «per
varie necessità», come anche per le letture nelle altre Messe inserite per la prima volta nella
seconda edizione del Messale Romano nel 1975.
"
