pagina,testo
1,
2,
3,LEZIONARIO
4,"MESSALE ROMANO
RIFORMATO A NORMA DEI DECRETI
DEL CONCILIO ECUMENICO VATICANO II
E PROMULGATO DA PAPA PAOLO VI"
5,"LDOMENICALE
E Z I OE FESTIVO
N A -RANNO
I OB

CONFERENZA EPISCOPALE ITALIANA"
6,"Editore: LIBRERIA EDITRICE VATICANA
© Copyright by Fondazione di religione
Santi Francesco di Assisi e Caterina da Siena, Roma, 2007
ISBN 88-209-7987-X"
7,DECRETI
8,
9,"CONGREGATIO PRO CULTU DIVINO
ET DISCIPLINA SACRAMENTORUM

Prot. N. 842/06/L

ITALIAE

Instante Eminentissimo Domino Camillo Card. Ruini, pro Alma Urbe Vicario Generali
Suae Sanctitatis et Praeside Conferentiae Episcoporum Italiae, litteris die 5 mensis iulii 2006
datis, vigore facultatum huic Congregationi a Summo Pontifice BENEDICTO XVI tributarum, translationem italicam Lectionarii Missalis Romani, prout in adiecto exstat exemplari,
perlibenter probamus seu confirmamus.
In textu imprimendo mentio fiat de approbatione seu confirmatione ab Apostolica Sede
concessa.
Eiusdem insuper textus impressi duo exemplaria ad hanc Congregationem transmittantur.
Contrariis quibuslibet minime obstantibus.
Ex aedibus Congregationis de Cultu Divino
et Disciplina Sacramentorum,
die 12 mensis iulii 2006

FRANCISCUS Card. ARINZE
Praefectus
✠ MALCOLMUS RANJITH
Archiepiscopus a Secretis
"
10,"CONFERENZA EPISCOPALE ITALIANA

Prot. N. 950/06

Questo Lezionario del Messale Romano, preparato secondo l’editio typica altera dell’Ordo
lectionum Missae, utilizza la versione della sacra Bibbia curata dalla Conferenza Episcopale
Italiana, approvata secondo le delibere dell’Episcopato.
Ha ricevuto la conferma della Congregazione per il Culto Divino e la Disciplina dei
Sacramenti con Decreto Prot. N. 842/06/L del 12 luglio 2006.
La presente edizione deve essere considerata “tipica” per la lingua italiana, ufficiale per
l’uso liturgico. Il Lezionario si potrà adoperare a partire dal 2 dicembre 2007, prima domenica
di Avvento; diventerà obbligatorio dal 28 novembre 2010.
Roma, 25 dicembre 2006
Natale del Signore

CAMILLO Card. RUINI
Vicario Generale di Sua Santità
per la diocesi di Roma
Presidente della Conferenza Episcopale Italiana
"
11,"TEMPO
DI AVVENTO"
12,
13,"I DOMENICA
DI AVVENTO
PRIMA LETTURA

Se tu squarciassi i cieli e scendessi.

Dal libro del profeta Isaìa
63, 16b-17.19b; 64, 2-7

Tu, Signore, sei nostro padre,

da sempre ti chiami nostro redentore.
Perché, Signore, ci lasci vagare lontano dalle tue vie
e lasci indurire il nostro cuore, così che non ti tema?
Ritorna per amore dei tuoi servi,
per amore delle tribù, tua eredità.
Se tu squarciassi i cieli e scendessi!
Davanti a te sussulterebbero i monti.
Quando tu compivi cose terribili che non attendevamo,
tu scendesti e davanti a te sussultarono i monti.
Mai si udì parlare da tempi lontani,
orecchio non ha sentito,
occhio non ha visto
che un Dio, fuori di te,
abbia fatto tanto per chi confida in lui.
Tu vai incontro a quelli che praticano con gioia la giustizia
e si ricordano delle tue vie.
Ecco, tu sei adirato perché abbiamo peccato
contro di te da lungo tempo e siamo stati ribelli."
