testo,pagina
L E Z I O N A R I O DOMENICALE E FESTIVO – ANNO C,3
MESSALE ROMANO RIFORMATO A NORMA DEI DECRETI DEL CONCILIO ECUMENICO VATICANO II E PROMULGATO DA PAPA PAOLO VI,4
LEZIONARIO DOMENICALE E FESTIVO - ANNO C CONFERENZA EPISCOPALE ITALIANA,5
"Editore: LIBRERIA EDITRICE VATICANA © Copyright by Fondazione di religione Santi Francesco di Assisi e Caterina da Siena, Roma, 2007 ISBN 88-209-7988-8",6
DECRETI,7
"Prot. N. 842/06/L ITALIAE Instante Eminentissimo Domino Camillo Card. Ruini, pro Alma Urbe Vicario Generali Suae Sanctitatis et Praeside Conferentiae Episcoporum Italiae, litteris die 5 mensis iulii 2006 datis, vigore facultatum huic Congregationi a Summo Pontifice BENEDICTO XVI tributarum, translationem italicam Lectionarii Missalis Romani, prout in adiecto exstat exemplari, perlibenter probamus seu confirmamus. In textu imprimendo mentio fiat de approbatione seu confirmatione ab Apostolica Sede concessa. Eiusdem insuper textus impressi duo exemplaria ad hanc Congregationem transmittantur. Contrariis quibuslibet minime obstantibus. Ex aedibus Congregationis de Cultu Divino et Disciplina Sacramentorum, die 12 mensis iulii 2006 FRANCISCUS Card. ARINZE Praefectus CONGREGATIO PRO CULTU DIVINO ET DISCIPLINA SACRAMENTORUM ✠MALCOLMUS RANJITH Archiepiscopus a Secretis",9
"Prot. N. 950/06 Questo Lezionario del Messale Romano, preparato secondo l’editio typica altera dell’Ordo lectionum Missae, utilizza la versione della sacra Bibbia curata dalla Conferenza Episcopale Italiana, approvata secondo le delibere dell’Episcopato. Ha ricevuto la conferma della Congregazione per il Culto Divino e la Disciplina dei Sacramenti con Decreto Prot. N. 842/06/L del 12 luglio 2006. La presente edizione deve essere considerata “tipica” per la lingua italiana, ufficiale per l’uso liturgico. Il Lezionario si potrà adoperare a partire dal 2 dicembre 2007, prima domenica di Avvento; diventerà obbligatorio dal 28 novembre 2010. Roma, 25 dicembre 2006 Natale del Signore CONFERENZA EPISCOPALE ITALIANA CAMILLO Card. RUINI Vicario Generale di Sua Santità per la diocesi di Roma Presidente della Conferenza Episcopale Italiana",10
TEMPO DI AVVENTO,11
"Ecco, verranno giorni – oràcolo del Signore – nei quali io realizzerò le promesse di bene che ho fatto alla casa d’Israele e alla casa di Giuda. In quei giorni e in quel tempo farò germogliare per Davide un germoglio giusto, che eserciterà il giudizio e la giustizia sulla terra. In quei giorni Giuda sarà salvato e Gerusalemme vivrà tranquilla, e sarà chiamata: Signore-nostra-giustizia. Parola di Dio. PRIMA LETTURA Farò germogliare per Davide un germoglio giusto. Dal libro del profeta Geremìa 33, 14-16 I DOMENICA DI AVVENTO",13
"A te, Signore, innalzo l’anima mia, in te confido. Fammi conoscere, Signore, le tue vie, insegnami i tuoi sentieri. Guidami nella tua fedeltà e istruiscimi, perché sei tu il Dio della mia salvezza. Buono e retto è il Signore, indica ai peccatori la via giusta; guida i poveri secondo giustizia, insegna ai poveri la sua via. Tutti i sentieri del Signore sono amore e fedeltà per chi custodisce la sua alleanza e i suoi precetti. Il Signore si confida con chi lo teme: gli fa conoscere la sua alleanza. SALMO RESPONSORIALE Dal Salmo 24 (25)",14
"Fratelli, il Signore vi faccia crescere e sovrabbondare nell’amore fra voi e verso tutti, come sovrabbonda il nostro per voi, per rendere saldi i vostri cuori e irreprensibili nella santità, davanti a Dio e Padre nostro, alla venuta del Signore nostro Gesù con tutti i suoi santi. Per il resto, fratelli, vi preghiamo e supplichiamo nel Signore Gesù affinché, come avete imparato da noi il modo di comportarvi e di piacere a Dio – e così già vi comportate –, possiate progredire ancora di più. Voi conoscete quali regole di vita vi abbiamo dato da parte del Signore Gesù. Parola di Dio. Alleluia, alleluia. Mostraci, Signore, la tua misericordia e donaci la tua salvezza. Alleluia. SECONDA LETTURA Il Signore renda saldi i vostri cuori al momento della venuta di Cristo. Dalla prima lettera di san Paolo apostolo ai Tessalonicési 3, 12 – 4, 2 CANTO AL VANGELO Sal 84, 8",17
"In quel tempo, Gesù disse ai suoi discepoli: «Vi saranno segni nel sole, nella luna e nelle stelle, e sulla terra angoscia di popoli in ansia per il fragore del mare e dei flutti, mentre gli uomini moriranno per la paura e per l’attesa di ciò che dovrà accadere sulla terra. Le potenze dei cieli infatti saranno sconvolte. Allora vedranno il Figlio dell’uomo venire su una nube con grande potenza e gloria. Quando cominceranno ad accadere queste cose, risollevatevi e alzate il capo, perché la vostra liberazione è vicina. State attenti a voi stessi, che i vostri cuori non si appesantiscano in dissipazioni, ubriachezze e affanni della vita e che quel giorno non vi piombi addosso all’improvviso; come un laccio infatti esso si abbatterà sopra tutti coloro che abitano sulla faccia di tutta la terra. Vegliate in ogni momento pregando, perché abbiate la forza di sfuggire a tutto ciò che sta per accadere, e di comparire davanti al Figlio dell’uomo». Parola del Signore. Dal Vangelo secondo Luca 21, 25-28.34-36 VANGELO La vostra liberazione è vicina.",18
"II DOMENICA DI AVVENTOeponi, o Gerusalemme, la veste del lutto e dell’afflizione, rivèstiti dello splendore della gloria che ti viene da Dio per sempre. Avvolgiti nel manto della giustizia di Dio, metti sul tuo capo il diadema di gloria dell’Eterno, perché Dio mostrerà il tuo splendore a ogni creatura sotto il cielo. Sarai chiamata da Dio per sempre: «Pace di giustizia» e «Gloria di pietà». Sorgi, o Gerusalemme, sta’ in piedi sull’altura e guarda verso oriente; vedi i tuoi figli riuniti, dal tramonto del sole fino al suo sorgere, alla parola del Santo, esultanti per il ricordo di Dio. Si sono allontanati da te a piedi, incalzati dai nemici; ora Dio te li riconduce in trionfo come sopra un trono regale. PRIMA LETTURA Dio mostrerà il suo splendore a ogni creatura. Dal libro del profeta Baruc 5, 1-9 D",19
"Poiché Dio ha deciso di spianare ogni alta montagna e le rupi perenni, di colmare le valli livellando il terreno, perché Israele proceda sicuro sotto la gloria di Dio. Anche le selve e ogni albero odoroso hanno fatto ombra a Israele per comando di Dio. Perché Dio ricondurrà Israele con gioia alla luce della sua gloria, con la misericordia e la giustizia che vengono da lui. Parola di Dio. Grandi cose ha fatto il Signore per noi. Quando il Signore ristabilì la sorte di Sion, ci sembrava di sognare. Allora la nostra bocca si riempì di sorriso, la nostra lingua di gioia. Allora si diceva tra le genti: «Il Signore ha fatto grandi cose per loro». Grandi cose ha fatto il Signore per noi: eravamo pieni di gioia. SALMO RESPONSORIALE Salmo 125 (126)",20
