testo,pagina
"L E Z I O N A R I O
DOMENICALE E FESTIVO – ANNO B",3
"MESSALE ROMANO
RIFORMATO A NORMA DEI DECRETI
DEL CONCILIO ECUMENICO VATICANO II
E PROMULGATO DA PAPA PAOLO VI",4
"LEZIONARIO
DOMENICALE E FESTIVO - ANNO B
CONFERENZA EPISCOPALE ITALIANA",5
"Editore: LIBRERIA EDITRICE VATICANA
© Copyright by Fondazione di religione
Santi Francesco di Assisi e Caterina da Siena, Roma, 2007
ISBN 88-209-7987-X",6
DECRETI,7
"Prot. N. 842/06/L 
ITALIAE
Instante Eminentissimo Domino Camillo Card. Ruini, pro Alma Urbe Vicario Generali
Suae Sanctitatis et Praeside Conferentiae Episcoporum Italiae, litteris die 5 mensis iulii 2006
datis, vigore facultatum huic Congregationi a Summo Pontifice BENEDICTO XVI tributa-
rum, translationem italicam Lectionarii Missalis Romani, prout in adiecto exstat exemplari,
perlibenter probamus seu confirmamus.
In textu imprimendo mentio fiat de approbatione seu confirmatione ab Apostolica Sede
concessa.
Eiusdem insuper textus impressi duo exemplaria ad hanc Congregationem transmittantur.
Contrariis quibuslibet minime obstantibus.
Ex aedibus Congregationis de Cultu Divino 
et Disciplina Sacramentorum, 
die 12 mensis iulii 2006
FRANCISCUS Card. ARINZE
Praefectus
CONGREGATIO PRO CULTU DIVINO
ET DISCIPLINA SACRAMENTORUM
✠MALCOLMUS RANJITH
Archiepiscopus a Secretis",9
"Prot. N. 950/06
Questo Lezionario del Messale Romano, preparato secondo l’editio typica altera dell’Ordo
lectionum Missae, utilizza la versione della sacra Bibbia curata dalla Conferenza Episcopale
Italiana, approvata secondo le delibere dell’Episcopato.
Ha ricevuto la conferma della Congregazione per il Culto Divino e la Disciplina dei
Sacramenti con Decreto Prot. N. 842/06/L del 12 luglio 2006.
La presente edizione deve essere considerata “tipica” per la lingua italiana, ufficiale per
l’uso liturgico. Il Lezionario si potrà adoperare a partire dal 2 dicembre 2007, prima domenica
di Avvento; diventerà obbligatorio dal 28 novembre 2010.
Roma, 25 dicembre 2006
Natale del Signore
CONFERENZA EPISCOPALE ITALIANA
CAMILLO Card. RUINI
Vicario Generale di Sua Santità
per la diocesi di Roma
Presidente della Conferenza Episcopale Italiana",10
"TEMPO 
DI AVVENTO",11
"u, Signore, sei nostro padre,
da sempre ti chiami nostro redentore.
Perché, Signore, ci lasci vagare lontano dalle tue vie
e lasci indurire il nostro cuore, così che non ti tema?
Ritorna per amore dei tuoi servi,
per amore delle tribù, tua eredità.
Se tu squarciassi i cieli e scendessi!
Davanti a te sussulterebbero i monti.
Quando tu compivi cose terribili che non attendevamo,
tu scendesti e davanti a te sussultarono i monti.
Mai si udì parlare da tempi lontani,
orecchio non ha sentito,
occhio non ha visto
che un Dio, fuori di te, 
abbia fatto tanto per chi confida in lui.
Tu vai incontro a quelli che praticano con gioia la giustizia
e si ricordano delle tue vie.
Ecco, tu sei adirato perché abbiamo peccato
contro di te da lungo tempo e siamo stati ribelli.
PRIMA LETTURA
Se tu squarciassi i cieli e scendessi.
Dal libro del profeta Isaìa
63, 16b-17.19b; 64, 2-7
I DOMENICA 
DI AVVENTO
T",13
"Siamo divenuti tutti come una cosa impura,
e come panno immondo sono tutti i nostri atti di giustizia;
tutti siamo avvizziti come foglie,
le nostre iniquità ci hanno portato via come il vento.
Nessuno invocava il tuo nome,
nessuno si risvegliava per stringersi a te;
perché tu avevi nascosto da noi il tuo volto,
ci avevi messo in balìa della nostra iniquità.
Ma, Signore, tu sei nostro padre;
noi siamo argilla e tu colui che ci plasma,
tutti noi siamo opera delle tue mani.
Parola di Dio.",14
"Signore, fa’ splendere il tuo volto e noi saremo salvi.
Tu, pastore d’Israele, ascolta,
seduto sui cherubini, risplendi.
Risveglia la tua potenza 
e vieni a salvarci.
Dio degli eserciti, ritorna!
Guarda dal cielo e vedi
e visita questa vigna,
proteggi quello che la tua destra ha piantato,
il figlio dell’uomo che per te hai reso forte.
Sia la tua mano sull’uomo della tua destra,
sul figlio dell’uomo che per te hai reso forte.
Da te mai più ci allontaneremo,
facci rivivere e noi invocheremo il tuo nome.
SALMO RESPONSORIALE
Dal Salmo 79 (80)",17
"ratelli, grazia a voi e pace da Dio Padre nostro e dal
Signore Gesù Cristo!
Rendo grazie continuamente al mio Dio per voi, a
motivo della grazia di Dio che vi è stata data in Cristo Gesù,
perché in lui siete stati arricchiti di tutti i doni, quelli della
parola e quelli della conoscenza. 
La testimonianza di Cristo si è stabilita tra voi così saldamen-
te che non manca più alcun carisma a voi, che aspettate la
manifestazione del Signore nostro Gesù Cristo. Egli vi renderà
saldi sino alla fine, irreprensibili nel giorno del Signore no-
stro Gesù Cristo. Degno di fede è Dio, dal quale siete stati
chiamati alla comunione con il Figlio suo Gesù Cristo, Signore
nostro!
Parola di Dio.
SECONDA LETTURA
Aspettiamo la manifestazione 
del Signore nostro Gesù Cristo.
Dalla prima lettera di san Paolo apostolo ai Corìnzi
1, 3-9
F",18
"n quel tempo, Gesù disse ai suoi discepoli:
«Fate attenzione, vegliate, perché non sapete
quando è il momento. È come un uomo, che è
partito dopo aver lasciato la propria casa e da-
to il potere ai suoi servi, a ciascuno il suo
compito, e ha ordinato al portiere di vegliare. 
Vegliate dunque: voi non sapete quando il padrone di casa ri-
tornerà, se alla sera o a mezzanotte o al canto del gallo o al
mattino; fate in modo che, giungendo all’improvviso, non vi
trovi addormentati. 
Quello che dico a voi, lo dico a tutti: vegliate!».
Parola del Signore.
Dal Vangelo secondo Marco
13, 33-37
VANGELO
Vegliate: non sapete quando 
il padrone di casa ritornerà.
CANTO AL VANGELO
Sal 84, 8
Alleluia, alleluia.
Mostraci, Signore, la tua misericordia
e donaci la tua salvezza.
Alleluia.
I",19
"onsolate, consolate il mio popolo
– dice il vostro Dio –.
Parlate al cuore di Gerusalemme
e gridatele che la sua tribolazione è compiuta,
la sua colpa è scontata,
perché ha ricevuto dalla mano del Signore
il doppio per tutti i suoi peccati».
Una voce grida:
«Nel deserto preparate la via al Signore,
spianate nella steppa la strada per il nostro Dio.
Ogni valle sia innalzata,
ogni monte e ogni colle siano abbassati;
il terreno accidentato si trasformi in piano
e quello scosceso in vallata.
Allora si rivelerà la gloria del Signore
e tutti gli uomini insieme la vedranno,
perché la bocca del Signore ha parlato».
Sali su un alto monte,
tu che annunci liete notizie a Sion!
PRIMA LETTURA
Preparate la via al Signore.
Dal libro del profeta Isaìa
40, 1-5.9-11
II DOMENICA 
DI AVVENTO
«C",20
"Alza la tua voce con forza,
tu che annunci liete notizie a Gerusalemme.
Alza la voce, non temere;
annuncia alle città di Giuda: «Ecco il vostro Dio!
Ecco, il Signore Dio viene con potenza,
il suo braccio esercita il dominio.
Ecco, egli ha con sé il premio
e la sua ricompensa lo precede.
Come un pastore egli fa pascolare il gregge
e con il suo braccio lo raduna;
porta gli agnellini sul petto
e conduce dolcemente le pecore madri».
Parola di Dio.",21
"Mostraci, Signore, la tua misericordia 
e donaci la tua salvezza.
Ascolterò che cosa dice Dio, il Signore:
egli annuncia la pace
per il suo popolo, per i suoi fedeli.
Sì, la sua salvezza è vicina a chi lo teme,
perché la sua gloria abiti la nostra terra.
Amore e verità s’incontreranno,
giustizia e pace si baceranno.
Verità germoglierà dalla terra
e giustizia si affaccerà dal cielo.
Certo, il Signore donerà il suo bene
e la nostra terra darà il suo frutto;
giustizia camminerà davanti a lui:
i suoi passi tracceranno il cammino.
SALMO RESPONSORIALE
Dal Salmo 84 (85)",22
"na cosa non dovete perdere di vista, carissimi: da-
vanti al Signore un solo giorno è come mille anni e
mille anni come un solo giorno. Il Signore non ritarda
nel compiere la sua promessa, anche se alcuni parlano di len-
tezza. Egli invece è magnanimo con voi, perché non vuole che
alcuno si perda, ma che tutti abbiano modo di pentirsi. 
Il giorno del Signore verrà come un ladro; allora i cieli spari-
ranno in un grande boato, gli elementi, consumati dal calore,
si dissolveranno e la terra, con tutte le sue opere, sarà di-
strutta. 
Dato che tutte queste cose dovranno finire in questo modo,
quale deve essere la vostra vita nella santità della condotta e
nelle preghiere, mentre aspettate e affrettate la venuta del
giorno di Dio, nel quale i cieli in fiamme si dissolveranno e
gli elementi incendiati fonderanno! Noi infatti, secondo la
sua promessa, aspettiamo nuovi cieli e una terra nuova, nei
quali abita la giustizia. 
Perciò, carissimi, nell’attesa di questi eventi, fate di tutto
perché Dio vi trovi in pace, senza colpa e senza macchia.
Parola di Dio.
SECONDA LETTURA
Aspettiamo nuovi cieli e una terra nuova.
Dalla seconda lettera di san Pietro apostolo
3, 8-14
U",23
"nizio del vangelo di Gesù, Cristo, Figlio di Dio. 
Come sta scritto nel profeta Isaìa:
«Ecco, dinanzi a te io mando il mio messaggero:
egli preparerà la tua via.
Voce di uno che grida nel deserto:
Preparate la via del Signore,
raddrizzate i suoi sentieri»,
vi fu Giovanni, che battezzava nel deserto e proclamava un
battesimo di conversione per il perdono dei peccati. 
Accorrevano a lui tutta la regione della Giudea e tutti gli abi-
Dal Vangelo secondo Marco
1, 1-8
VANGELO
Raddrizzate le vie del Signore.
CANTO AL VANGELO
Lc 3, 4.6
Alleluia, alleluia.
Preparate la via del Signore,
raddrizzate i suoi sentieri!
Ogni uomo vedrà la salvezza di Dio!
Alleluia.
I",24
"tanti di Gerusalemme. E si facevano battezzare da lui nel fiu-
me Giordano, confessando i loro peccati. 
Giovanni era vestito di peli di cammello, con una cintura di
pelle attorno ai fianchi, e mangiava cavallette e miele selva-
tico. E proclamava: «Viene dopo di me colui che è più forte di
me: io non sono degno di chinarmi per slegare i lacci dei suoi
sandali. Io vi ho battezzato con acqua, ma egli vi battezzerà
in Spirito Santo».
Parola del Signore.",25
"o spirito del Signore Dio è su di me,
perché il Signore mi ha consacrato con l’unzione;
mi ha mandato a portare il lieto annuncio ai miseri,
a fasciare le piaghe dei cuori spezzati,
a proclamare la libertà degli schiavi,
la scarcerazione dei prigionieri,
a promulgare l’anno di grazia del Signore.
Io gioisco pienamente nel Signore,
la mia anima esulta nel mio Dio,
perché mi ha rivestito delle vesti della salvezza,
mi ha avvolto con il mantello della giustizia,
come uno sposo si mette il diadema
e come una sposa si adorna di gioielli.
Poiché, come la terra produce i suoi germogli
e come un giardino fa germogliare i suoi semi,
così il Signore Dio farà germogliare la giustizia
e la lode davanti a tutte le genti.
Parola di Dio.
PRIMA LETTURA
Gioisco pienamente nel Signore.
Dal libro del profeta Isaìa
61, 1-2.10-11
III DOMENICA 
DI AVVENTO
L",26
